canonical_org_id,display_name,comparable_award_years,nih_surgical,pub_surgical,both,nih_only,publication_only,neither,sensitivity_pct,precision_pct,raw_agreement_pct,cohens_kappa
IPF577508,UCSF,7268.0,586.0,657.0,173.0,413.0,484.0,6198.0,29.5,26.3,87.7,0.211
IPF2221101,Duke,4636.0,545.0,497.0,170.0,375.0,327.0,3764.0,31.2,34.2,84.9,0.241
IPF9083901,WashU St. Louis,5664.0,543.0,399.0,161.0,382.0,238.0,4883.0,29.7,40.4,89.1,0.284
IPF1506502,Michigan,6003.0,519.0,572.0,182.0,337.0,390.0,5094.0,35.1,31.8,87.9,0.267
IPF8046501,Stanford,5575.0,489.0,468.0,200.0,289.0,268.0,4818.0,40.9,42.7,90.0,0.363
IPF6463801,Penn,6241.0,461.0,436.0,188.0,273.0,248.0,5532.0,40.8,43.1,91.7,0.374
IPF2059802,Pittsburgh,5887.0,419.0,388.0,119.0,300.0,269.0,5199.0,28.4,30.7,90.3,0.243
IPF4134401,Johns Hopkins,6933.0,383.0,641.0,114.0,269.0,527.0,6023.0,29.8,17.8,88.5,0.165
IPF6144650,Northwestern,3406.0,286.0,270.0,94.0,192.0,176.0,2944.0,32.9,34.8,89.2,0.279
IPF577505,UCLA,4027.0,270.0,255.0,96.0,174.0,159.0,3598.0,35.6,37.6,91.7,0.322
IPF5998304,NYU Grossman,2926.0,264.0,217.0,65.0,199.0,152.0,2510.0,24.6,30.0,88.0,0.206
IPF513806,Florida,2900.0,255.0,160.0,53.0,202.0,107.0,2538.0,20.8,33.1,89.3,0.201
IPF578503,Wisconsin–Madison,3194.0,238.0,121.0,23.0,215.0,98.0,2858.0,9.7,19.0,90.2,0.082
IPF820104,Maryland Baltimore,2040.0,228.0,138.0,86.0,142.0,52.0,1760.0,37.7,62.3,90.5,0.421
IPF5221250,Miami,1389.0,225.0,205.0,94.0,131.0,111.0,1053.0,41.8,45.9,82.6,0.334
IPF6218701,Ohio State,2475.0,217.0,183.0,75.0,142.0,108.0,2150.0,34.6,41.0,89.9,0.32
IPF2384501,Emory,4149.0,206.0,241.0,102.0,104.0,139.0,3804.0,49.5,42.3,94.1,0.426
IPF1288803,UAB,3031.0,199.0,161.0,73.0,126.0,88.0,2744.0,36.7,45.3,92.9,0.368
IPF481201,Baylor College of Medicine,3009.0,186.0,183.0,39.0,147.0,144.0,2679.0,21.0,21.3,90.3,0.16
IPF9420201,Yale,5668.0,184.0,287.0,92.0,92.0,195.0,5289.0,50.0,32.1,94.9,0.366
IPF1199905,Colorado Denver,3775.0,180.0,213.0,87.0,93.0,126.0,3469.0,48.3,40.8,94.2,0.412
IPF577503,UC Davis,2620.0,176.0,149.0,80.0,96.0,69.0,2375.0,45.5,53.7,93.7,0.459
IPF1833205,Columbia,5070.0,174.0,1143.0,58.0,116.0,1085.0,3811.0,33.3,5.1,76.3,0.03
IPF7047101,Rochester,1896.0,169.0,114.0,50.0,119.0,64.0,1663.0,29.6,43.9,90.3,0.303
IPF577806,Indiana Indianapolis,2063.0,167.0,181.0,74.0,93.0,107.0,1789.0,44.3,40.9,90.3,0.372
IPF577507,UC San Diego,4906.0,157.0,162.0,49.0,108.0,113.0,4636.0,31.2,30.2,95.5,0.284
IPF1450402,Minnesota,3480.0,157.0,164.0,62.0,95.0,102.0,3221.0,39.5,37.8,94.3,0.357
IPF578407,MD Anderson,1623.0,137.0,159.0,20.0,117.0,139.0,1347.0,14.6,12.6,84.2,0.049
IPF1514803,Weill Cornell,2665.0,112.0,150.0,56.0,56.0,94.0,2459.0,50.0,37.3,94.4,0.399
IPF1526402,Virginia,2141.0,97.0,102.0,31.0,66.0,71.0,1973.0,32.0,30.4,93.6,0.278
