fiscal_year,dept_tier,award_years,funding,pct_award_years,pct_funding
2021,A_NIH_ORG_DEPT,46240,22950539728.0,73.27,68.51
2021,B_NIH_LINKED,2725,1432439897.0,4.32,4.28
2021,UNRESOLVED,14142,9115021799.0,22.41,27.21
2022,A_NIH_ORG_DEPT,47312,23831799632.0,73.5,68.6
2022,B_NIH_LINKED,2641,1434379301.0,4.1,4.13
2022,UNRESOLVED,14415,9475141535.0,22.39,27.27
2023,A_NIH_ORG_DEPT,48244,24475574875.0,73.77,68.57
2023,B_NIH_LINKED,2509,1415015702.0,3.84,3.96
2023,UNRESOLVED,14645,9803710880.0,22.39,27.47
2024,A_NIH_ORG_DEPT,47581,24383967984.0,74.26,69.41
2024,B_NIH_LINKED,2284,1364230751.0,3.56,3.88
2024,UNRESOLVED,14212,9383102071.0,22.18,26.71
2025,A_NIH_ORG_DEPT,43522,24555194473.0,74.06,69.58
2025,B_NIH_LINKED,2027,1408528333.0,3.45,3.99
2025,UNRESOLVED,13218,9326479347.0,22.49,26.43
