period,confidence_floor,scope,entity,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,rule,validation_kappa,validation_precision_pct,validation_sensitivity_pct
FY2025,corroborated,Department of Surgery,MGH,34603957.0,45,43,13391852.0,24,0,32,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,BWH,20101698.0,20,17,5781777.0,9,0,14,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF10040927,10858628.0,19,18,7684531.0,10,0,14,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF10068583,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF861001,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF4976101,3244021.0,5,5,2309194.0,4,0,4,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF1504801,16371225.0,30,30,13445187.0,20,0,16,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF5079202,21990507.0,11,11,3453037.0,5,0,10,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF615001,1644935.0,3,3,1644935.0,3,0,3,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,DFCI,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF1499101,9440911.0,7,5,1377192.0,2,0,3,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,BIDMC,5812849.0,10,10,5082913.0,7,0,7,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF1225501,759206.0,1,1,759206.0,1,0,1,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF7893501,3545179.0,6,6,2776038.0,4,0,3,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF1531401,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF3058203,3438074.0,4,4,3438074.0,4,0,4,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF1495302,3389396.0,6,6,2999396.0,5,0,3,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF4976105,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF3736101,0.0,0,0,0.0,0,0,0,majority,0.916,100.0,91.9
FY2025,corroborated,Department of Surgery,IPF10005742,8787241.0,14,14,7398143.0,11,0,8,majority,0.916,100.0,91.9
