period,specialty,nih_org_dept,total_funding,award_years,distinct_projects,direct_cost,indirect_cost,award_years_missing_cost,r01_funding,r01_award_years,r01_distinct_projects,m_funding,m_award_years,m_distinct_projects,funding_R01,awards_R01,funding_R_OTHER,awards_R_OTHER,funding_U,awards_U,funding_P,awards_P,funding_K,awards_K,funding_T,awards_T,funding_F,awards_F,funding_M,awards_M,funding_OTHER,awards_OTHER,funding_UNMAPPED,awards_UNMAPPED,non_r01_funding,non_r01_award_years,funded_investigators,funded_contact_pis,funding_per_investigator,funding_per_project,mean_award_size,r01_funding_per_investigator,projects_per_investigator,r01_share_of_funding,rank_total_funding,rank_award_years,rank_distinct_projects,rank_r01_funding,rank_r01_award_years,rank_m_award_years,meets_intensity_floor,rank_funding_per_investigator,is_ranked,n_ranked,rank_peer_set
FY2021_FY2025,UNKNOWN,__MISSING__,56677562477.0,84366,28077,43956996677.0,14781885050.0,32,21511711970.0,36585,9424,0.0,0,0,21511711970.0,36585,10724350060.0,22458,13022102839.0,7871,3508930603.0,1993,1723137540.0,10005,562810599.0,1405,95957377.0,1866,0.0,0,5528561489.0,2183,0.0,0,35165850507.0,47781,22840,17393,2481504.0,2018647.0,671806.0,941844.0,1.23,38.0,,,,,,,False,,False,44,NIH department values with a recorded department
FY2021_FY2025,INTERNAL_MEDICINE,INTERNAL MEDICINE/MEDICINE,25311778336.0,39265,14392,19851142307.0,6803889729.0,0,10456000248.0,18383,6395,0.0,0,0,10456000248.0,18383,1959035389.0,5138,6991731768.0,4061,2701930531.0,1707,1043990720.0,5246,821676081.0,1931,109767159.0,2322,0.0,0,1227646440.0,477,0.0,0,14855778088.0,20882,12048,8737,2100911.0,1758739.0,644640.0,867862.0,1.19,41.3,1.0,1.0,1.0,1.0,1.0,1.0,True,2.0,True,44,NIH department values with a recorded department
FY2021_FY2025,PUBLIC_HEALTH,PUBLIC HEALTH & PREV MEDICINE,6920142881.0,11604,4261,5599671598.0,1727151173.0,0,3078120330.0,5151,1706,0.0,0,0,3078120330.0,5151,685168602.0,1981,1789278695.0,1177,695763073.0,407,227243273.0,1374,201808328.0,504,27463485.0,666,0.0,0,215297095.0,344,0.0,0,3842022551.0,6453,4185,2871,1653559.0,1624065.0,596358.0,735513.0,1.02,44.5,2.0,3.0,3.0,3.0,5.0,1.0,True,9.0,True,44,NIH department values with a recorded department
FY2021_FY2025,UNCLASSIFIED,NONE,6228101995.0,12665,5168,4801768547.0,1650742064.0,0,2604411137.0,4785,1725,0.0,0,0,2604411137.0,4785,949944072.0,2794,963318852.0,761,980410390.0,523,196939811.0,1209,164652855.0,409,83926587.0,1911,0.0,0,284498291.0,273,0.0,0,3623690858.0,7880,5523,4333,1127666.0,1205128.0,491757.0,471557.0,0.94,41.8,,,,,,,False,,False,44,NIH department values with a recorded department
FY2021_FY2025,PSYCHIATRY,PSYCHIATRY,5864962177.0,9849,3744,4541642462.0,1645967982.0,0,3150912391.0,4968,1679,0.0,0,0,3150912391.0,4968,624005701.0,1543,1250539118.0,697,346852760.0,179,286071009.0,1568,124664099.0,356,21454099.0,446,0.0,0,60463000.0,92,0.0,0,2714049786.0,4881,3151,2260,1861302.0,1566496.0,595488.0,999972.0,1.19,53.7,3.0,7.0,7.0,2.0,6.0,1.0,True,4.0,True,44,NIH department values with a recorded department
FY2021_FY2025,PEDIATRICS,PEDIATRICS,5587920961.0,9714,3642,4345380913.0,1509985230.0,0,2398867239.0,4514,1560,0.0,0,0,2398867239.0,4514,465420521.0,1442,1868765869.0,1082,301444639.0,193,328184993.0,1666,141570047.0,382,16006654.0,351,0.0,0,67660999.0,84,0.0,0,3189053722.0,5200,3154,2263,1771693.0,1534300.0,575244.0,760579.0,1.15,42.9,4.0,8.0,8.0,6.0,7.0,1.0,True,7.0,True,44,NIH department values with a recorded department
FY2021_FY2025,BASIC_SCIENCE,MICROBIOLOGY/IMMUN/VIROLOGY,5445682690.0,10840,4187,3944700344.0,1592330511.0,0,2976555256.0,5763,1815,0.0,0,0,2976555256.0,5763,812432368.0,2704,924793670.0,438,366407751.0,185,41490691.0,247,142682674.0,393,43157908.0,937,0.0,0,138162372.0,173,0.0,0,2469127434.0,5077,2909,2267,1872012.0,1300617.0,502369.0,1023223.0,1.44,54.7,5.0,4.0,5.0,4.0,3.0,1.0,True,3.0,True,44,NIH department values with a recorded department
FY2021_FY2025,BASIC_SCIENCE,BIOCHEMISTRY,5211687294.0,12089,4393,3718591479.0,1563881009.0,0,2397291494.0,5615,1794,0.0,0,0,2397291494.0,5615,1527115009.0,3971,495436592.0,281,341191261.0,213,46875858.0,283,167316012.0,389,50816481.0,1103,0.0,0,185644587.0,234,0.0,0,2814395800.0,6474,3500,2843,1489054.0,1186362.0,431110.0,684940.0,1.26,46.0,6.0,2.0,2.0,7.0,4.0,1.0,True,17.0,True,44,NIH department values with a recorded department
FY2021_FY2025,NEUROLOGY,NEUROLOGY,5118788675.0,7022,2752,4076277517.0,1450611435.0,0,2289107545.0,3379,1156,0.0,0,0,2289107545.0,3379,639198604.0,1053,1354925889.0,748,546682660.0,246,149657867.0,856,73633016.0,189,22546076.0,487,0.0,0,43037018.0,64,0.0,0,2829681130.0,3643,2352,1656,2176356.0,1860025.0,728964.0,973260.0,1.17,44.7,7.0,14.0,12.0,8.0,15.0,1.0,True,1.0,True,44,NIH department values with a recorded department
FY2021_FY2025,BASIC_SCIENCE,PHARMACOLOGY,5111547850.0,10726,4218,3731966964.0,1549490548.0,0,2744659815.0,5853,1992,0.0,0,0,2744659815.0,5853,878303343.0,2449,652255792.0,368,478808825.0,286,56146368.0,319,162190612.0,404,39198183.0,901,0.0,0,99984912.0,146,0.0,0,2366888035.0,4873,3453,2646,1480321.0,1211842.0,476557.0,794862.0,1.22,53.7,8.0,5.0,4.0,5.0,2.0,1.0,True,18.0,True,44,NIH department values with a recorded department
