application_id,core_project_num,canonical_org_id,pi_name_raw,fiscal_year,total_cost,is_r01,activity_code,mechanism_family,project_title,modal_department,nih_org_dept,is_department_of_surgery,surgical_share,n_affiliations,name_match,n_forenames_seen,rule,validation_kappa,profiled_at
10154322,F32AG071308,BIDMC,"ALEMI, MOHAMMAD MEHDI",2021,68490.0,False,F32,F,Evaluation of a Novel Passive Back-Support Exosuit (BSE) for Back Injury Prevention in Older Adults,ORTHOPEDIC_SURGERY,ORTHOPEDICS,False,1.0,7,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10460916,F32AG071308,BIDMC,"ALEMI, MOHAMMAD MEHDI",2022,57875.0,False,F32,F,Evaluation of a Novel Passive Back-Support Exosuit (BSE) for Back Injury Prevention in Older Adults,ORTHOPEDIC_SURGERY,ORTHOPEDICS,False,1.0,7,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10128304,R01AR075964,BIDMC,"ALKALAY, RON N",2021,131892.0,True,R01,R01,Predicting Fracture Risk in Patients Treated with Radiotherapy for Spinal Metastatic Disease,ORTHOPEDIC_SURGERY,ORTHOPEDICS,False,1.0,12,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10392406,R01AR075964,BIDMC,"ALKALAY, RON N",2022,676550.0,True,R01,R01,Predicting Fracture Risk in Patients Treated with Radiotherapy for Spinal Metastatic Disease,ORTHOPEDIC_SURGERY,ORTHOPEDICS,False,1.0,12,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10593799,R01AR075964,BIDMC,"ALKALAY, RON N",2022,352266.0,True,R01,R01,Curating musculoskeletal CT data to enable the development of AI/ML approaches for analysis of clinical CT in patients with metastatic spinal disease,ORTHOPEDIC_SURGERY,ORTHOPEDICS,False,1.0,12,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10655309,R01AR075964,BIDMC,"ALKALAY, RON N",2023,681073.0,True,R01,R01,Predicting Fracture Risk in Patients Treated with Radiotherapy for Spinal Metastatic Disease,ORTHOPEDIC_SURGERY,ORTHOPEDICS,False,1.0,12,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10814861,R01AR075964,BIDMC,"ALKALAY, RON N",2024,639383.0,True,R01,R01,Predicting Fracture Risk in Patients Treated with Radiotherapy for Spinal Metastatic Disease,ORTHOPEDIC_SURGERY,ORTHOPEDICS,False,1.0,12,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10229451,R01AR073019,BIDMC,"BOUXSEIN, MARY L",2021,530112.0,True,R01,R01,Influence of Spinal Loading on Vertebral Fracture,ORTHOPEDIC_SURGERY,ORTHOPEDICS,False,1.0,105,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10471192,R01AR073019,BIDMC,"BOUXSEIN, MARY L",2022,543808.0,True,R01,R01,Influence of Spinal Loading on Vertebral Fracture,ORTHOPEDIC_SURGERY,ORTHOPEDICS,False,1.0,105,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10222522,UG3AI150551,BIDMC,"CHAIKOF, ELLIOT",2021,711044.0,False,UG3,U,Delivery Technologies for In Vivo Genome Editing,GENERAL_AND_UNSPECIFIED_SURGERY,SURGERY,True,1.0,41,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10229398,R01HL147855,BIDMC,"CHAIKOF, ELLIOT",2021,488240.0,True,R01,R01,Clot-Targeted Antithrombotics for Venous Thromboprophylaxis,GENERAL_AND_UNSPECIFIED_SURGERY,SURGERY,True,1.0,41,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10420534,R01DK132284,BIDMC,"CHAIKOF, ELLIOT",2022,705835.0,True,R01,R01,Structure-Guided Design of Intestine-Selective AHR Agonists for Restoration of Gut Barrier Integrity in IBD,GENERAL_AND_UNSPECIFIED_SURGERY,SURGERY,True,1.0,41,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10420546,R01EB032824,BIDMC,"CHAIKOF, ELLIOT",2022,611830.0,True,R01,R01,Immunoevasive Engineered Living Blood Vessels,GENERAL_AND_UNSPECIFIED_SURGERY,SURGERY,True,1.0,41,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10474980,R01HL147855,BIDMC,"CHAIKOF, ELLIOT",2022,465803.0,True,R01,R01,Clot-Targeted Antithrombotics for Venous Thromboprophylaxis,GENERAL_AND_UNSPECIFIED_SURGERY,SURGERY,True,1.0,41,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10664097,UH3AI150551,BIDMC,"CHAIKOF, ELLIOT",2022,1385636.0,False,UH3,U,Delivery Technologies for In Vivo Genome Editing,GENERAL_AND_UNSPECIFIED_SURGERY,SURGERY,True,1.0,41,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10627922,R01DK132284,BIDMC,"CHAIKOF, ELLIOT",2023,705947.0,True,R01,R01,Structure-Guided Design of Intestine-Selective AHR Agonists for Restoration of Gut Barrier Integrity in IBD,GENERAL_AND_UNSPECIFIED_SURGERY,SURGERY,True,1.0,41,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10676153,R01EB032824,BIDMC,"CHAIKOF, ELLIOT",2023,604246.0,True,R01,R01,Immunoevasive Engineered Living Blood Vessels,GENERAL_AND_UNSPECIFIED_SURGERY,SURGERY,True,1.0,41,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10772317,R01HL171101,BIDMC,"CHAIKOF, ELLIOT",2024,761370.0,True,R01,R01,Rechargeable Anti-thrombogenic Films for Blood Contacting Applications,GENERAL_AND_UNSPECIFIED_SURGERY,SURGERY,True,1.0,41,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
10811604,R01DK132284,BIDMC,"CHAIKOF, ELLIOT",2024,677710.0,True,R01,R01,Structure-Guided Design of Intestine-Selective AHR Agonists for Restoration of Gut Barrier Integrity in IBD,GENERAL_AND_UNSPECIFIED_SURGERY,SURGERY,True,1.0,41,full_forename,1,majority,0.916,2026-08-01T17:26:23+00:00
