canonical_org_id,display_name,total_funding,award_years,distinct_projects,r01_award_years,funded_investigators,r01_funding,m_award_years,period,confidence_floor
BWH,Brigham and Women's Hospital,16375579.0,10,9,6,8,3690257.0,0,FY2025,corroborated
IPF1199905,Colorado Denver,1971037.0,7,7,3,4,1067118.0,0,FY2025,corroborated
IPF1288803,UAB,3731381.0,10,10,5,7,3028089.0,0,FY2025,corroborated
IPF1450402,Minnesota,5250025.0,14,12,6,10,3112956.0,0,FY2025,corroborated
IPF1506502,Michigan,15602737.0,33,33,17,22,9720756.0,0,FY2025,corroborated
IPF1514803,Weill Cornell,9166856.0,16,16,11,8,6833588.0,0,FY2025,corroborated
IPF1526402,Virginia,5482344.0,12,12,7,8,4518032.0,0,FY2025,corroborated
IPF1833205,Columbia,58676966.0,84,79,46,49,29307407.0,0,FY2025,corroborated
IPF2059802,Pittsburgh,7990925.0,17,17,9,13,5692253.0,0,FY2025,corroborated
IPF2221101,Duke,72073497.0,31,29,14,21,11603787.0,0,FY2025,corroborated
IPF2384501,Emory,7396057.0,15,14,8,9,5504216.0,0,FY2025,corroborated
IPF4134401,Johns Hopkins,17809581.0,26,26,13,20,9984252.0,0,FY2025,corroborated
IPF481201,Baylor College of Medicine,14111823.0,19,17,14,7,7001275.0,0,FY2025,corroborated
IPF513806,Florida,4215433.0,10,10,5,8,2352360.0,0,FY2025,corroborated
IPF5221250,Miami,11910766.0,18,18,12,10,9469692.0,0,FY2025,corroborated
IPF577503,UC Davis,7122835.0,8,8,6,5,3111535.0,0,FY2025,corroborated
IPF577505,UCLA,6916992.0,9,9,7,8,5926454.0,0,FY2025,corroborated
IPF577507,UC San Diego,3764516.0,9,9,6,6,3090651.0,0,FY2025,corroborated
IPF577508,UCSF,14070890.0,17,15,7,12,8406683.0,0,FY2025,corroborated
IPF577806,Indiana Indianapolis,3484513.0,10,10,5,6,2054765.0,0,FY2025,corroborated
IPF578407,MD Anderson,4371041.0,8,8,5,4,3019488.0,0,FY2025,corroborated
IPF578503,Wisconsin–Madison,4919928.0,8,8,2,6,1158254.0,0,FY2025,corroborated
IPF5998304,NYU Grossman,4221138.0,10,8,6,7,3668459.0,0,FY2025,corroborated
IPF6144650,Northwestern,13522414.0,18,18,10,11,6488158.0,0,FY2025,corroborated
IPF6218701,Ohio State,14784512.0,15,14,9,11,4161322.0,0,FY2025,corroborated
IPF6463801,Penn,24482468.0,14,14,6,8,5071473.0,0,FY2025,corroborated
IPF7047101,Rochester,678216.0,2,2,1,2,535513.0,0,FY2025,corroborated
IPF8046501,Stanford,9274522.0,22,19,18,12,8789725.0,0,FY2025,corroborated
IPF820104,Maryland Baltimore,1411317.0,3,3,2,3,1131711.0,0,FY2025,corroborated
IPF9083901,WashU St. Louis,13496378.0,19,19,15,12,10648902.0,0,FY2025,corroborated
IPF9420201,Yale,4327812.0,10,10,9,8,4307812.0,0,FY2025,corroborated
MGH,Massachusetts General Hospital,10586645.0,21,21,12,14,7663839.0,0,FY2025,corroborated
BWH,Brigham and Women's Hospital,22115987.0,20,19,12,17,7756759.0,0,FY2025,all_evidence
IPF1199905,Colorado Denver,7077351.0,18,17,6,10,2446269.0,0,FY2025,all_evidence
IPF1288803,UAB,7274308.0,14,14,7,11,4396106.0,0,FY2025,all_evidence
IPF1450402,Minnesota,6171287.0,18,16,7,14,3662430.0,0,FY2025,all_evidence
IPF1506502,Michigan,36052819.0,59,57,27,41,15182981.0,0,FY2025,all_evidence
IPF1514803,Weill Cornell,15759534.0,19,19,13,11,8329262.0,0,FY2025,all_evidence
IPF1526402,Virginia,6650698.0,15,15,9,10,5276121.0,0,FY2025,all_evidence
IPF1833205,Columbia,107492997.0,161,152,83,97,54937441.0,0,FY2025,all_evidence
IPF2059802,Pittsburgh,10695452.0,23,23,11,18,7115535.0,0,FY2025,all_evidence
IPF2221101,Duke,86172901.0,46,44,21,31,16927813.0,0,FY2025,all_evidence
IPF2384501,Emory,10028008.0,22,20,11,14,7339752.0,0,FY2025,all_evidence
IPF4134401,Johns Hopkins,51114163.0,55,54,26,34,18591872.0,0,FY2025,all_evidence
IPF481201,Baylor College of Medicine,16621225.0,27,23,19,11,8969433.0,0,FY2025,all_evidence
IPF513806,Florida,8487957.0,18,17,8,12,4046680.0,0,FY2025,all_evidence
IPF5221250,Miami,18025539.0,26,25,16,15,11316623.0,0,FY2025,all_evidence
IPF577503,UC Davis,8427214.0,11,11,8,8,3983248.0,0,FY2025,all_evidence
IPF577505,UCLA,10867997.0,19,19,10,14,7643063.0,0,FY2025,all_evidence
IPF577507,UC San Diego,8015688.0,20,19,11,15,4900080.0,0,FY2025,all_evidence
IPF577508,UCSF,28393724.0,40,37,23,26,17821360.0,0,FY2025,all_evidence
IPF577806,Indiana Indianapolis,5554184.0,16,16,9,10,3838991.0,0,FY2025,all_evidence
IPF578407,MD Anderson,17319817.0,11,11,5,7,3019488.0,0,FY2025,all_evidence
IPF578503,Wisconsin–Madison,6178608.0,13,13,3,10,1800724.0,0,FY2025,all_evidence
IPF5998304,NYU Grossman,23930936.0,25,23,13,13,8589572.0,0,FY2025,all_evidence
IPF6144650,Northwestern,26251467.0,37,32,16,18,9410627.0,0,FY2025,all_evidence
IPF6218701,Ohio State,18284318.0,23,22,14,18,6908139.0,0,FY2025,all_evidence
IPF6463801,Penn,30184153.0,29,29,12,19,8181297.0,0,FY2025,all_evidence
IPF7047101,Rochester,5997508.0,10,10,6,7,3797219.0,0,FY2025,all_evidence
IPF8046501,Stanford,20989843.0,41,37,30,20,15998773.0,0,FY2025,all_evidence
IPF820104,Maryland Baltimore,4453123.0,6,6,3,5,1765772.0,0,FY2025,all_evidence
IPF9083901,WashU St. Louis,21227511.0,34,33,26,19,16474180.0,0,FY2025,all_evidence
IPF9420201,Yale,8156099.0,19,19,14,14,7424743.0,0,FY2025,all_evidence
MGH,Massachusetts General Hospital,17619301.0,32,32,16,23,12375769.0,0,FY2025,all_evidence
BWH,Brigham and Women's Hospital,30700384.0,21,13,11,11,7053991.0,0,FY2024_FY2025,corroborated
IPF1199905,Colorado Denver,5526487.0,21,12,9,7,3181815.0,0,FY2024_FY2025,corroborated
IPF1288803,UAB,8224288.0,21,14,8,11,4646571.0,0,FY2024_FY2025,corroborated
IPF1450402,Minnesota,9720675.0,27,18,12,13,6339142.0,0,FY2024_FY2025,corroborated
IPF1506502,Michigan,33306188.0,75,49,46,30,23295807.0,0,FY2024_FY2025,corroborated
IPF1514803,Weill Cornell,16152085.0,30,18,22,9,13442687.0,0,FY2024_FY2025,corroborated
IPF1526402,Virginia,9787582.0,24,16,13,11,7586424.0,0,FY2024_FY2025,corroborated
IPF1833205,Columbia,134859100.0,205,128,116,71,69015844.0,0,FY2024_FY2025,corroborated
IPF2059802,Pittsburgh,14120702.0,36,23,16,17,8755499.0,0,FY2024_FY2025,corroborated
IPF2221101,Duke,141572380.0,71,40,27,26,19862126.0,0,FY2024_FY2025,corroborated
IPF2384501,Emory,13645857.0,34,16,20,10,9890937.0,0,FY2024_FY2025,corroborated
IPF4134401,Johns Hopkins,33044277.0,55,33,25,23,17112347.0,0,FY2024_FY2025,corroborated
IPF481201,Baylor College of Medicine,32517287.0,45,24,32,10,16166220.0,0,FY2024_FY2025,corroborated
IPF513806,Florida,12315445.0,24,15,15,11,6959511.0,0,FY2024_FY2025,corroborated
IPF5221250,Miami,19650427.0,40,23,25,14,14514856.0,0,FY2024_FY2025,corroborated
IPF577503,UC Davis,10237362.0,17,12,13,6,5852328.0,0,FY2024_FY2025,corroborated
IPF577505,UCLA,15459136.0,23,15,15,11,9181041.0,0,FY2024_FY2025,corroborated
IPF577507,UC San Diego,13465910.0,21,13,12,7,6089865.0,0,FY2024_FY2025,corroborated
IPF577508,UCSF,20893004.0,28,17,12,12,12655629.0,0,FY2024_FY2025,corroborated
IPF577806,Indiana Indianapolis,6566019.0,18,11,10,7,4102697.0,0,FY2024_FY2025,corroborated
IPF578407,MD Anderson,8098005.0,16,10,11,5,5775860.0,0,FY2024_FY2025,corroborated
IPF578503,Wisconsin–Madison,7900273.0,15,10,5,7,3012509.0,0,FY2024_FY2025,corroborated
IPF5998304,NYU Grossman,6202533.0,15,9,8,8,5288070.0,0,FY2024_FY2025,corroborated
IPF6144650,Northwestern,26204395.0,36,24,19,14,12221800.0,0,FY2024_FY2025,corroborated
IPF6218701,Ohio State,27034610.0,29,18,18,13,8216715.0,0,FY2024_FY2025,corroborated
IPF6463801,Penn,45628302.0,32,19,14,12,8989525.0,0,FY2024_FY2025,corroborated
IPF7047101,Rochester,1307849.0,4,2,2,2,1022443.0,0,FY2024_FY2025,corroborated
IPF8046501,Stanford,19628867.0,50,27,39,16,17956684.0,0,FY2024_FY2025,corroborated
IPF820104,Maryland Baltimore,3347041.0,7,4,5,3,2788396.0,0,FY2024_FY2025,corroborated
IPF9083901,WashU St. Louis,25840268.0,44,25,34,14,18335229.0,0,FY2024_FY2025,corroborated
IPF9420201,Yale,11602082.0,27,15,23,10,11299095.0,0,FY2024_FY2025,corroborated
MGH,Massachusetts General Hospital,19364037.0,40,25,24,17,14023664.0,0,FY2024_FY2025,corroborated
BWH,Brigham and Women's Hospital,43737030.0,45,31,23,24,15309470.0,0,FY2024_FY2025,all_evidence
IPF1199905,Colorado Denver,15434335.0,42,23,15,14,6125999.0,0,FY2024_FY2025,all_evidence
IPF1288803,UAB,14756712.0,29,19,12,16,7274429.0,0,FY2024_FY2025,all_evidence
IPF1450402,Minnesota,11164571.0,35,24,13,18,6888616.0,0,FY2024_FY2025,all_evidence
IPF1506502,Michigan,78215514.0,139,87,73,58,37436945.0,0,FY2024_FY2025,all_evidence
IPF1514803,Weill Cornell,26299726.0,42,27,28,17,16075111.0,0,FY2024_FY2025,all_evidence
IPF1526402,Virginia,12170279.0,31,19,18,13,9156987.0,0,FY2024_FY2025,all_evidence
IPF1833205,Columbia,243007424.0,376,229,197,132,127072683.0,0,FY2024_FY2025,all_evidence
IPF2059802,Pittsburgh,24487909.0,53,35,23,26,12771197.0,0,FY2024_FY2025,all_evidence
IPF2221101,Duke,162296839.0,98,57,40,36,28579687.0,0,FY2024_FY2025,all_evidence
IPF2384501,Emory,19517926.0,47,23,26,15,14195780.0,0,FY2024_FY2025,all_evidence
IPF4134401,Johns Hopkins,96770005.0,111,70,50,41,33555478.0,0,FY2024_FY2025,all_evidence
IPF481201,Baylor College of Medicine,36766179.0,57,31,39,15,19680952.0,0,FY2024_FY2025,all_evidence
IPF513806,Florida,23130601.0,42,25,22,16,10894633.0,0,FY2024_FY2025,all_evidence
IPF5221250,Miami,32369118.0,55,31,34,19,18750993.0,0,FY2024_FY2025,all_evidence
IPF577503,UC Davis,14066733.0,27,18,18,12,8460314.0,0,FY2024_FY2025,all_evidence
IPF577505,UCLA,21802143.0,40,24,20,17,11886398.0,0,FY2024_FY2025,all_evidence
IPF577507,UC San Diego,20202731.0,39,24,22,16,10007487.0,0,FY2024_FY2025,all_evidence
IPF577508,UCSF,48894934.0,75,47,45,28,32671004.0,0,FY2024_FY2025,all_evidence
IPF577806,Indiana Indianapolis,11985416.0,33,19,21,12,8920739.0,0,FY2024_FY2025,all_evidence
IPF578407,MD Anderson,22963221.0,23,16,13,11,6770692.0,0,FY2024_FY2025,all_evidence
IPF578503,Wisconsin–Madison,11246257.0,27,18,8,13,4676819.0,0,FY2024_FY2025,all_evidence
IPF5998304,NYU Grossman,38501964.0,43,27,25,15,15781478.0,0,FY2024_FY2025,all_evidence
IPF6144650,Northwestern,55371251.0,73,42,32,23,19225468.0,0,FY2024_FY2025,all_evidence
IPF6218701,Ohio State,33005718.0,43,25,28,20,13273163.0,0,FY2024_FY2025,all_evidence
IPF6463801,Penn,58366516.0,62,38,25,25,14804537.0,0,FY2024_FY2025,all_evidence
IPF7047101,Rochester,9663139.0,16,11,9,7,5446721.0,0,FY2024_FY2025,all_evidence
IPF8046501,Stanford,41445498.0,88,50,64,25,33294776.0,0,FY2024_FY2025,all_evidence
IPF820104,Maryland Baltimore,9430419.0,14,9,7,6,3935576.0,0,FY2024_FY2025,all_evidence
IPF9083901,WashU St. Louis,42359443.0,79,48,59,26,31294714.0,0,FY2024_FY2025,all_evidence
IPF9420201,Yale,20600136.0,48,28,35,17,18205872.0,0,FY2024_FY2025,all_evidence
MGH,Massachusetts General Hospital,30814762.0,60,37,32,27,20944076.0,0,FY2024_FY2025,all_evidence
BWH,Brigham and Women's Hospital,81719168.0,77,30,45,22,27166984.0,0,FY2021_FY2025,corroborated
IPF1199905,Colorado Denver,15784721.0,55,19,23,10,9169546.0,0,FY2021_FY2025,corroborated
IPF1288803,UAB,23219076.0,57,20,20,14,8894730.0,0,FY2021_FY2025,corroborated
IPF1450402,Minnesota,22491788.0,61,28,30,18,15178820.0,0,FY2021_FY2025,corroborated
IPF1506502,Michigan,94165549.0,191,82,119,41,61063197.0,0,FY2021_FY2025,corroborated
IPF1514803,Weill Cornell,43674496.0,81,37,55,19,33313577.0,0,FY2021_FY2025,corroborated
IPF1526402,Virginia,17907905.0,44,19,24,12,12767999.0,0,FY2021_FY2025,corroborated
IPF1833205,Columbia,424578131.0,575,224,312,95,211626073.0,0,FY2021_FY2025,corroborated
IPF2059802,Pittsburgh,34840314.0,91,42,41,24,19796507.0,0,FY2021_FY2025,corroborated
IPF2221101,Duke,426951583.0,180,67,63,31,42465460.0,0,FY2021_FY2025,corroborated
IPF2384501,Emory,32540967.0,86,26,53,13,24617792.0,0,FY2021_FY2025,corroborated
IPF4134401,Johns Hopkins,88499634.0,164,64,83,37,45763439.0,0,FY2021_FY2025,corroborated
IPF481201,Baylor College of Medicine,52772718.0,95,36,59,13,28794291.0,0,FY2021_FY2025,corroborated
IPF513806,Florida,27607738.0,55,24,34,17,15860188.0,0,FY2021_FY2025,corroborated
IPF5221250,Miami,41218969.0,97,40,63,21,29473924.0,0,FY2021_FY2025,corroborated
IPF577503,UC Davis,14506636.0,33,18,17,9,7351004.0,0,FY2021_FY2025,corroborated
IPF577505,UCLA,43793962.0,75,28,44,18,19346182.0,0,FY2021_FY2025,corroborated
IPF577507,UC San Diego,27795952.0,42,16,27,7,13627475.0,0,FY2021_FY2025,corroborated
IPF577508,UCSF,45499410.0,83,32,45,20,31855365.0,0,FY2021_FY2025,corroborated
IPF577806,Indiana Indianapolis,14936173.0,46,25,20,16,7696182.0,0,FY2021_FY2025,corroborated
IPF578407,MD Anderson,17056742.0,38,17,24,8,12423591.0,0,FY2021_FY2025,corroborated
IPF578503,Wisconsin–Madison,14605660.0,33,16,10,11,6282100.0,0,FY2021_FY2025,corroborated
IPF5998304,NYU Grossman,10512207.0,24,12,14,10,9226812.0,0,FY2021_FY2025,corroborated
IPF6144650,Northwestern,48878580.0,67,29,33,17,21046208.0,0,FY2021_FY2025,corroborated
IPF6218701,Ohio State,50384990.0,70,33,45,20,19621674.0,0,FY2021_FY2025,corroborated
IPF6463801,Penn,91611942.0,65,23,28,15,17150668.0,0,FY2021_FY2025,corroborated
IPF7047101,Rochester,3257817.0,12,6,5,3,2250651.0,0,FY2021_FY2025,corroborated
IPF8046501,Stanford,46715605.0,113,45,75,25,35782596.0,0,FY2021_FY2025,corroborated
IPF820104,Maryland Baltimore,11523801.0,25,12,21,8,10654856.0,0,FY2021_FY2025,corroborated
IPF9083901,WashU St. Louis,67850289.0,124,44,86,22,42699214.0,0,FY2021_FY2025,corroborated
IPF9420201,Yale,30649914.0,77,29,57,20,28876051.0,0,FY2021_FY2025,corroborated
MGH,Massachusetts General Hospital,43974974.0,106,48,55,29,29128680.0,0,FY2021_FY2025,corroborated
BWH,Brigham and Women's Hospital,115025958.0,142,57,71,36,46485376.0,0,FY2021_FY2025,all_evidence
IPF1199905,Colorado Denver,43461927.0,117,41,55,21,23338114.0,0,FY2021_FY2025,all_evidence
IPF1288803,UAB,39198450.0,88,36,35,26,15678339.0,0,FY2021_FY2025,all_evidence
IPF1450402,Minnesota,26594680.0,81,37,35,26,17232617.0,0,FY2021_FY2025,all_evidence
IPF1506502,Michigan,202428261.0,357,140,195,78,99372786.0,0,FY2021_FY2025,all_evidence
IPF1514803,Weill Cornell,64001688.0,116,54,68,28,39590706.0,0,FY2021_FY2025,all_evidence
IPF1526402,Virginia,24483269.0,65,24,38,15,17168314.0,0,FY2021_FY2025,all_evidence
IPF1833205,Columbia,702369738.0,1051,400,550,185,368787605.0,0,FY2021_FY2025,all_evidence
IPF2059802,Pittsburgh,77256581.0,167,73,75,46,37359639.0,0,FY2021_FY2025,all_evidence
IPF2221101,Duke,478043720.0,248,96,92,47,59602852.0,0,FY2021_FY2025,all_evidence
IPF2384501,Emory,44829262.0,120,39,70,21,33998502.0,0,FY2021_FY2025,all_evidence
IPF4134401,Johns Hopkins,242514981.0,324,127,143,62,84921732.0,0,FY2021_FY2025,all_evidence
IPF481201,Baylor College of Medicine,62877968.0,120,45,75,19,36690953.0,0,FY2021_FY2025,all_evidence
IPF513806,Florida,53202066.0,101,41,49,26,23334964.0,0,FY2021_FY2025,all_evidence
IPF5221250,Miami,60897134.0,128,53,87,28,40469034.0,0,FY2021_FY2025,all_evidence
IPF577503,UC Davis,24212954.0,59,28,34,16,15135259.0,0,FY2021_FY2025,all_evidence
IPF577505,UCLA,55185728.0,109,43,56,28,24466030.0,0,FY2021_FY2025,all_evidence
IPF577507,UC San Diego,39653610.0,78,31,47,18,21672561.0,0,FY2021_FY2025,all_evidence
IPF577508,UCSF,112562108.0,211,84,134,41,81538247.0,0,FY2021_FY2025,all_evidence
IPF577806,Indiana Indianapolis,28654637.0,79,39,44,23,19816887.0,0,FY2021_FY2025,all_evidence
IPF578407,MD Anderson,71354446.0,85,37,48,17,22899749.0,0,FY2021_FY2025,all_evidence
IPF578503,Wisconsin–Madison,24812134.0,62,28,18,19,10198158.0,0,FY2021_FY2025,all_evidence
IPF5998304,NYU Grossman,65819649.0,84,36,56,20,34869838.0,0,FY2021_FY2025,all_evidence
IPF6144650,Northwestern,125463443.0,170,57,81,28,44263729.0,0,FY2021_FY2025,all_evidence
IPF6218701,Ohio State,64456847.0,105,46,68,30,30815840.0,0,FY2021_FY2025,all_evidence
IPF6463801,Penn,132371188.0,150,58,61,35,34597060.0,0,FY2021_FY2025,all_evidence
IPF7047101,Rochester,31805996.0,49,19,21,8,11484166.0,0,FY2021_FY2025,all_evidence
IPF8046501,Stanford,91226613.0,197,75,126,38,65175552.0,0,FY2021_FY2025,all_evidence
IPF820104,Maryland Baltimore,25342078.0,49,23,34,12,18248259.0,0,FY2021_FY2025,all_evidence
IPF9083901,WashU St. Louis,122546093.0,207,77,128,37,65616815.0,0,FY2021_FY2025,all_evidence
IPF9420201,Yale,48055010.0,124,47,85,30,42562386.0,0,FY2021_FY2025,all_evidence
MGH,Massachusetts General Hospital,83688011.0,177,80,86,48,50279153.0,0,FY2021_FY2025,all_evidence
