rank,canonical_org_id,display_name,total_funding,award_years,distinct_projects,r01_award_years,funded_investigators,r01_funding,m_award_years,period,confidence_floor,nih_total_funding,nih_award_years,nih_funded_investigators,funding_per_investigator,mean_award_size,funding_per_project,r01_share_of_funding,nih_vs_publication_ratio,nih_comparable
1,IPF1833205,Columbia,702369738.0,1051.0,400.0,550.0,185.0,368787605.0,0.0,FY2021_FY2025,all_evidence,68055268.0,85.0,24.0,3796593.0,668287.0,1755924.0,52.5,0.1,True
2,IPF2221101,Duke,478043720.0,248.0,96.0,92.0,47.0,59602852.0,0.0,FY2021_FY2025,all_evidence,220811823.0,256.0,83.0,10171143.0,1927596.0,4979622.0,12.5,0.46,True
3,IPF4134401,Johns Hopkins,242514981.0,324.0,127.0,143.0,62.0,84921732.0,0.0,FY2021_FY2025,all_evidence,52598713.0,119.0,42.0,3911532.0,748503.0,1909567.0,35.0,0.22,True
4,IPF1506502,Michigan,202428261.0,357.0,140.0,195.0,78.0,99372786.0,0.0,FY2021_FY2025,all_evidence,131746006.0,276.0,92.0,2595234.0,567026.0,1445916.0,49.1,0.65,True
5,IPF6463801,Penn,132371188.0,150.0,58.0,61.0,35.0,34597060.0,0.0,FY2021_FY2025,all_evidence,103151781.0,104.0,51.0,3782034.0,882475.0,2282262.0,26.1,0.78,True
6,IPF6144650,Northwestern,125463443.0,170.0,57.0,81.0,28.0,44263729.0,0.0,FY2021_FY2025,all_evidence,73836404.0,125.0,40.0,4480837.0,738020.0,2201113.0,35.3,0.59,True
7,IPF9083901,WashU St. Louis,122546093.0,207.0,77.0,128.0,37.0,65616815.0,0.0,FY2021_FY2025,all_evidence,154066689.0,223.0,67.0,3312057.0,592010.0,1591508.0,53.5,1.26,True
8,IPF577508,UCSF,112562108.0,211.0,84.0,134.0,41.0,81538247.0,0.0,FY2021_FY2025,all_evidence,88246501.0,136.0,52.0,2745417.0,533470.0,1340025.0,72.4,0.78,True
9,IPF8046501,Stanford,91226613.0,197.0,75.0,126.0,38.0,65175552.0,0.0,FY2021_FY2025,all_evidence,78769175.0,161.0,51.0,2400700.0,463079.0,1216355.0,71.4,0.86,True
10,IPF2059802,Pittsburgh,77256581.0,167.0,73.0,75.0,46.0,37359639.0,0.0,FY2021_FY2025,all_evidence,89030931.0,206.0,68.0,1679491.0,462614.0,1058309.0,48.4,1.15,True
11,IPF578407,MD Anderson,71354446.0,85.0,37.0,48.0,17.0,22899749.0,0.0,FY2021_FY2025,all_evidence,52041565.0,105.0,43.0,4197320.0,839464.0,1928499.0,32.1,0.73,True
12,IPF5998304,NYU Grossman,65819649.0,84.0,36.0,56.0,20.0,34869838.0,0.0,FY2021_FY2025,all_evidence,52970392.0,111.0,45.0,3290982.0,783567.0,1828324.0,53.0,0.8,True
13,IPF6218701,Ohio State,64456847.0,105.0,46.0,68.0,30.0,30815840.0,0.0,FY2021_FY2025,all_evidence,79491245.0,124.0,52.0,2148562.0,613875.0,1401236.0,47.8,1.23,True
14,IPF1514803,Weill Cornell,64001688.0,116.0,54.0,68.0,28.0,39590706.0,0.0,FY2021_FY2025,all_evidence,44485966.0,84.0,37.0,2285775.0,551739.0,1185216.0,61.9,0.7,True
15,IPF481201,Baylor College of Medicine,62877968.0,120.0,45.0,75.0,19.0,36690953.0,0.0,FY2021_FY2025,all_evidence,35855220.0,85.0,32.0,3309367.0,523983.0,1397288.0,58.4,0.57,True
16,IPF5221250,Miami,60897134.0,128.0,53.0,87.0,28.0,40469034.0,0.0,FY2021_FY2025,all_evidence,42770965.0,116.0,33.0,2174898.0,475759.0,1149003.0,66.5,0.7,True
17,IPF577505,UCLA,55185728.0,109.0,43.0,56.0,28.0,24466030.0,0.0,FY2021_FY2025,all_evidence,48531239.0,97.0,28.0,1970919.0,506291.0,1283389.0,44.3,0.88,True
18,IPF513806,Florida,53202066.0,101.0,41.0,49.0,26.0,23334964.0,0.0,FY2021_FY2025,all_evidence,78227365.0,161.0,64.0,2046233.0,526753.0,1297611.0,43.9,1.47,True
19,IPF9420201,Yale,48055010.0,124.0,47.0,85.0,30.0,42562386.0,0.0,FY2021_FY2025,all_evidence,35413318.0,68.0,24.0,1601834.0,387540.0,1022447.0,88.6,0.74,True
20,IPF2384501,Emory,44829262.0,120.0,39.0,70.0,21.0,33998502.0,0.0,FY2021_FY2025,all_evidence,43011749.0,102.0,31.0,2134727.0,373577.0,1149468.0,75.8,0.96,True
21,IPF1199905,Colorado Denver,43461927.0,117.0,41.0,55.0,21.0,23338114.0,0.0,FY2021_FY2025,all_evidence,33999309.0,74.0,31.0,2069616.0,371469.0,1060047.0,53.7,0.78,True
22,IPF577507,UC San Diego,39653610.0,78.0,31.0,47.0,18.0,21672561.0,0.0,FY2021_FY2025,all_evidence,48149298.0,104.0,34.0,2202978.0,508380.0,1279149.0,54.7,1.21,True
23,IPF1288803,UAB,39198450.0,88.0,36.0,35.0,26.0,15678339.0,0.0,FY2021_FY2025,all_evidence,40407663.0,107.0,42.0,1507633.0,445437.0,1088846.0,40.0,1.03,True
