canonical_org_id,display_name,award_years,publication_surgical,note
MGH,Massachusetts General Hospital,5142,299,NIH supplies no department code; no agreement can be computed
BWH,Brigham and Women's Hospital,3222,250,NIH supplies no department code; no agreement can be computed
IPF1506502,Michigan,621,29,NIH supplies no department code; no agreement can be computed
IPF577505,UCLA,370,23,NIH supplies no department code; no agreement can be computed
IPF577507,UC San Diego,283,13,NIH supplies no department code; no agreement can be computed
IPF4134401,Johns Hopkins,276,6,NIH supplies no department code; no agreement can be computed
IPF6218701,Ohio State,255,9,NIH supplies no department code; no agreement can be computed
IPF1450402,Minnesota,226,0,NIH supplies no department code; no agreement can be computed
IPF1199905,Colorado Denver,211,5,NIH supplies no department code; no agreement can be computed
IPF6463801,Penn,207,6,NIH supplies no department code; no agreement can be computed
IPF2384501,Emory,200,4,NIH supplies no department code; no agreement can be computed
IPF578407,MD Anderson,190,14,NIH supplies no department code; no agreement can be computed
IPF578503,Wisconsin–Madison,154,9,NIH supplies no department code; no agreement can be computed
IPF2221101,Duke,150,4,NIH supplies no department code; no agreement can be computed
IPF2059802,Pittsburgh,116,14,NIH supplies no department code; no agreement can be computed
IPF8046501,Stanford,109,2,NIH supplies no department code; no agreement can be computed
IPF9420201,Yale,73,10,NIH supplies no department code; no agreement can be computed
IPF577806,Indiana Indianapolis,59,1,NIH supplies no department code; no agreement can be computed
IPF1526402,Virginia,48,2,NIH supplies no department code; no agreement can be computed
IPF5221250,Miami,48,9,NIH supplies no department code; no agreement can be computed
IPF820104,Maryland Baltimore,46,2,NIH supplies no department code; no agreement can be computed
IPF7047101,Rochester,44,0,NIH supplies no department code; no agreement can be computed
IPF6144650,Northwestern,32,0,NIH supplies no department code; no agreement can be computed
IPF577503,UC Davis,32,0,NIH supplies no department code; no agreement can be computed
IPF9083901,WashU St. Louis,24,0,NIH supplies no department code; no agreement can be computed
IPF1288803,UAB,24,0,NIH supplies no department code; no agreement can be computed
IPF1514803,Weill Cornell,20,0,NIH supplies no department code; no agreement can be computed
IPF513806,Florida,18,1,NIH supplies no department code; no agreement can be computed
IPF481201,Baylor College of Medicine,15,1,NIH supplies no department code; no agreement can be computed
IPF577508,UCSF,9,0,NIH supplies no department code; no agreement can be computed
IPF1833205,Columbia,3,0,NIH supplies no department code; no agreement can be computed
IPF5998304,NYU Grossman,2,0,NIH supplies no department code; no agreement can be computed
