canonical_org_id,papers,total_citations,median_citations,mean_rcr,papers_NEJM,papers_JAMA,papers_BMJ,papers_Lancet,papers_Ann Surg,papers_JAMA Surg,papers_TOP_TIER_GENERAL,period,display_name,citations_per_paper
MGB_CORE,9572,130345,5.0,2.24,7,25,12,9,267,87,53,FY2021_FY2025,Mass General Brigham,13.6
IPF4134401,6586,79811,5.0,2.08,0,15,1,4,80,53,20,FY2021_FY2025,Johns Hopkins,12.1
IPF8046501,5843,73150,5.0,2.2,0,8,0,2,83,75,10,FY2021_FY2025,Stanford,12.5
IPF2059802,6042,72364,5.0,2.19,1,10,1,1,70,62,13,FY2021_FY2025,Pittsburgh,12.0
IPF2221101,6033,69940,5.0,2.1,1,10,1,9,64,40,21,FY2021_FY2025,Duke,11.6
IPF1506502,5135,69200,5.0,2.25,1,19,5,1,176,94,26,FY2021_FY2025,Michigan,13.5
MGH,5456,68561,5.0,2.17,3,7,3,2,173,39,15,FY2021_FY2025,Massachusetts General Hospital,12.6
BWH,4579,68131,6.0,2.36,6,18,9,7,122,54,40,FY2021_FY2025,Brigham and Women's Hospital,14.9
IPF578407,3243,67332,6.0,2.56,0,6,2,4,62,25,12,FY2021_FY2025,MD Anderson,20.8
IPF9083901,4684,66157,5.0,2.41,1,9,1,0,43,22,11,FY2021_FY2025,WashU St. Louis,14.1
IPF6463801,5201,63740,5.0,2.14,0,10,1,1,89,55,12,FY2021_FY2025,Penn,12.3
IPF577508,3697,57534,5.0,2.46,0,2,2,7,35,12,11,FY2021_FY2025,UCSF,15.6
IPF1833205,3819,54960,5.0,2.49,0,4,0,2,30,12,6,FY2021_FY2025,Columbia,14.4
IPF1514803,3678,53472,5.0,2.34,1,9,3,4,32,28,17,FY2021_FY2025,Weill Cornell,14.5
IPF6144650,3731,53071,5.0,2.23,0,10,1,2,39,39,13,FY2021_FY2025,Northwestern,14.2
IPF5998304,4776,48990,4.0,2.17,0,5,1,3,43,14,9,FY2021_FY2025,NYU Grossman,10.3
IPF5221250,4393,45629,4.0,1.95,0,2,0,2,26,7,4,FY2021_FY2025,Miami,10.4
IPF6218701,4099,44646,5.0,1.86,0,8,0,1,59,56,9,FY2021_FY2025,Ohio State,10.9
IPF481201,3165,34123,4.0,1.92,0,5,4,2,23,17,11,FY2021_FY2025,Baylor College of Medicine,10.8
IPF2384501,3095,33452,4.0,1.99,1,8,0,1,35,27,10,FY2021_FY2025,Emory,10.8
IPF9420201,3185,33000,4.0,1.89,0,5,2,0,38,33,7,FY2021_FY2025,Yale,10.4
IPF1199905,3162,31594,4.0,2.01,0,3,1,1,54,23,5,FY2021_FY2025,Colorado Denver,10.0
IPF577505,2678,31556,4.0,2.12,0,10,3,2,29,39,15,FY2021_FY2025,UCLA,11.8
IPF513806,2359,28664,4.0,2.23,0,5,0,0,31,31,5,FY2021_FY2025,Florida,12.2
IPF1526402,2686,27309,4.0,2.05,0,5,0,0,20,41,5,FY2021_FY2025,Virginia,10.2
IPF578503,2611,25423,4.0,1.79,0,4,0,0,42,44,4,FY2021_FY2025,Wisconsin–Madison,9.7
IPF577806,2442,24508,4.0,1.85,0,2,0,1,33,15,3,FY2021_FY2025,Indiana Indianapolis,10.0
IPF820104,1858,22482,4.0,2.05,0,5,0,3,13,8,8,FY2021_FY2025,Maryland Baltimore,12.1
IPF1450402,2537,22458,3.0,1.79,0,4,2,1,19,14,7,FY2021_FY2025,Minnesota,8.9
IPF1288803,2098,19582,4.0,1.77,0,3,0,0,41,24,3,FY2021_FY2025,UAB,9.3
IPF577507,1751,19132,4.0,1.93,0,2,0,0,14,5,2,FY2021_FY2025,UC San Diego,10.9
IPF7047101,1431,15362,4.0,2.0,0,2,0,1,17,11,3,FY2021_FY2025,Rochester,10.7
IPF577503,1354,13285,4.0,2.02,0,0,1,2,17,6,3,FY2021_FY2025,UC Davis,9.8
MGB_CORE,3913,23445,2.0,2.68,6,10,8,5,78,33,29,FY2024_FY2025,Mass General Brigham,6.0
IPF2059802,2661,13978,2.0,2.6,1,6,0,1,26,23,8,FY2024_FY2025,Pittsburgh,5.3
IPF2221101,2662,13847,2.0,2.58,1,6,1,4,20,16,12,FY2024_FY2025,Duke,5.2
IPF4134401,2652,12868,2.0,2.33,0,3,1,2,26,15,6,FY2024_FY2025,Johns Hopkins,4.9
IPF8046501,2433,12809,2.0,2.59,0,5,0,2,23,35,7,FY2024_FY2025,Stanford,5.3
MGH,2284,12807,2.0,2.61,2,4,1,1,53,14,8,FY2024_FY2025,Massachusetts General Hospital,5.6
IPF6463801,2176,12303,2.0,2.69,0,3,1,0,35,22,4,FY2024_FY2025,Penn,5.7
BWH,1832,11957,3.0,2.79,5,6,7,4,37,23,22,FY2024_FY2025,Brigham and Women's Hospital,6.5
IPF578407,1299,11717,3.0,3.16,0,6,1,0,15,6,7,FY2024_FY2025,MD Anderson,9.0
IPF9083901,1865,11613,2.0,3.07,1,0,0,0,14,11,1,FY2024_FY2025,WashU St. Louis,6.2
IPF1833205,1623,11425,2.0,3.26,0,1,0,0,11,5,1,FY2024_FY2025,Columbia,7.0
IPF1506502,2037,11002,2.0,2.55,1,4,0,1,43,40,6,FY2024_FY2025,Michigan,5.4
IPF577508,1536,10659,2.0,2.87,0,0,0,3,11,2,3,FY2024_FY2025,UCSF,6.9
IPF5998304,2119,10541,2.0,2.65,0,4,1,2,20,6,7,FY2024_FY2025,NYU Grossman,5.0
IPF1514803,1471,9379,2.0,2.81,1,2,2,1,13,12,6,FY2024_FY2025,Weill Cornell,6.4
IPF6144650,1521,8924,2.0,2.47,0,2,0,1,11,11,3,FY2024_FY2025,Northwestern,5.9
IPF5221250,1877,8907,2.0,2.42,0,2,0,0,14,1,2,FY2024_FY2025,Miami,4.7
IPF6218701,1679,8107,2.0,2.28,0,2,0,1,20,22,3,FY2024_FY2025,Ohio State,4.8
IPF9420201,1372,7397,2.0,2.52,0,1,1,0,14,7,2,FY2024_FY2025,Yale,5.4
IPF481201,1278,7231,2.0,2.68,0,2,2,2,7,5,6,FY2024_FY2025,Baylor College of Medicine,5.7
IPF2384501,1337,7035,2.0,2.49,1,1,0,0,12,13,2,FY2024_FY2025,Emory,5.3
IPF1199905,1417,6716,2.0,2.45,0,1,0,1,28,9,2,FY2024_FY2025,Colorado Denver,4.7
IPF1526402,1120,6110,2.0,2.86,0,3,0,0,9,22,3,FY2024_FY2025,Virginia,5.5
IPF513806,1044,5383,2.0,2.57,0,5,0,0,8,10,5,FY2024_FY2025,Florida,5.2
IPF577505,1102,5328,2.0,2.41,0,2,1,2,11,20,5,FY2024_FY2025,UCLA,4.8
IPF1450402,1157,5288,2.0,2.25,0,3,0,0,11,7,3,FY2024_FY2025,Minnesota,4.6
IPF578503,1125,4329,2.0,2.07,0,0,0,0,15,14,0,FY2024_FY2025,Wisconsin–Madison,3.8
IPF577806,982,4193,2.0,2.26,0,1,0,1,5,10,2,FY2024_FY2025,Indiana Indianapolis,4.3
IPF577507,762,4091,2.0,2.58,0,0,0,0,5,3,0,FY2024_FY2025,UC San Diego,5.4
IPF820104,759,3579,2.0,2.55,0,2,0,1,4,1,3,FY2024_FY2025,Maryland Baltimore,4.7
IPF1288803,865,3326,2.0,2.05,0,2,0,0,14,13,2,FY2024_FY2025,UAB,3.8
IPF7047101,687,3312,2.0,2.19,0,2,0,0,8,5,2,FY2024_FY2025,Rochester,4.8
IPF577503,587,2566,2.0,2.61,0,0,0,1,3,2,1,FY2024_FY2025,UC Davis,4.4
MGB_CORE,2009,7040,1.0,4.3,6,7,5,3,44,14,21,FY2025,Mass General Brigham,3.5
IPF2221101,1425,4588,1.0,4.14,1,5,1,2,12,7,9,FY2025,Duke,3.2
IPF2059802,1377,4350,1.0,4.21,1,4,0,0,13,10,5,FY2025,Pittsburgh,3.2
IPF8046501,1273,3905,1.0,4.19,0,4,0,2,15,20,6,FY2025,Stanford,3.1
MGH,1203,3734,1.0,3.99,2,3,1,0,33,3,6,FY2025,Massachusetts General Hospital,3.1
BWH,907,3664,2.0,4.54,5,4,4,3,16,11,16,FY2025,Brigham and Women's Hospital,4.0
IPF578407,693,3663,2.0,5.66,0,4,0,0,9,3,4,FY2025,MD Anderson,5.3
IPF577508,796,3649,2.0,5.24,0,0,0,1,7,0,1,FY2025,UCSF,4.6
IPF4134401,1301,3642,1.0,4.13,0,1,1,1,19,8,3,FY2025,Johns Hopkins,2.8
IPF9083901,992,3521,1.0,4.74,1,0,0,0,8,6,1,FY2025,WashU St. Louis,3.5
IPF6463801,1134,3520,1.0,4.19,0,3,0,0,18,9,3,FY2025,Penn,3.1
IPF5998304,1084,3364,1.0,4.62,0,2,1,2,11,3,5,FY2025,NYU Grossman,3.1
IPF1833205,831,3132,1.0,5.29,0,0,0,0,7,3,0,FY2025,Columbia,3.8
IPF5221250,987,2980,1.0,4.22,0,0,0,0,6,0,0,FY2025,Miami,3.0
IPF1506502,1061,2965,1.0,4.29,1,4,0,1,28,15,6,FY2025,Michigan,2.8
IPF1514803,748,2694,1.0,4.83,1,1,0,1,8,4,3,FY2025,Weill Cornell,3.6
IPF6218701,868,2520,1.0,3.95,0,1,0,1,9,7,2,FY2025,Ohio State,2.9
IPF6144650,780,2285,1.0,4.05,0,1,0,0,5,6,1,FY2025,Northwestern,2.9
IPF2384501,673,2244,1.0,4.31,1,1,0,0,7,8,2,FY2025,Emory,3.3
IPF9420201,700,2130,1.0,4.06,0,1,1,0,6,3,2,FY2025,Yale,3.0
IPF1199905,749,2127,1.0,4.17,0,0,0,1,18,7,1,FY2025,Colorado Denver,2.8
IPF481201,655,2059,1.0,4.22,0,2,1,1,3,1,4,FY2025,Baylor College of Medicine,3.1
IPF577505,590,1996,1.0,5.56,0,1,0,0,9,12,1,FY2025,UCLA,3.4
IPF1526402,606,1793,1.0,3.94,0,0,0,0,7,8,0,FY2025,Virginia,3.0
IPF1450402,590,1662,1.0,4.75,0,2,0,0,9,4,2,FY2025,Minnesota,2.8
IPF578503,612,1401,1.0,3.81,0,0,0,0,9,7,0,FY2025,Wisconsin–Madison,2.3
IPF513806,525,1386,1.0,4.86,0,3,0,0,3,4,3,FY2025,Florida,2.6
IPF577507,422,1224,1.0,4.12,0,0,0,0,4,1,0,FY2025,UC San Diego,2.9
IPF820104,422,1188,1.0,3.99,0,2,0,0,1,0,2,FY2025,Maryland Baltimore,2.8
IPF577806,522,1184,1.0,3.63,0,0,0,1,4,3,1,FY2025,Indiana Indianapolis,2.3
IPF7047101,365,1166,1.0,4.84,0,1,0,0,3,2,1,FY2025,Rochester,3.2
IPF1288803,450,912,1.0,3.31,0,1,0,0,6,5,1,FY2025,UAB,2.0
IPF577503,312,823,1.0,4.53,0,0,0,1,2,0,1,FY2025,UC Davis,2.6
