period,entity,nih_org_dept,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,r01_distinct_projects,m_award_years,m_distinct_projects,funded_investigators
FY2025,MGH,ANESTHESIOLOGY,29412996.0,44,40,16287364.0,21,17,0,0,25
FY2025,MGH,BIOSTATISTICS & OTHER MATH SCI,2065270.0,3,3,419114.0,1,1,0,0,2
FY2025,MGH,DERMATOLOGY,12171131.0,21,21,7050863.0,13,13,0,0,10
FY2025,MGH,EMERGENCY MEDICINE,6968020.0,8,8,5261923.0,4,4,0,0,6
FY2025,MGH,INTERNAL MEDICINE/MEDICINE,135063718.0,263,237,78465083.0,123,110,0,0,171
FY2025,MGH,NEUROLOGY,117703464.0,118,101,35213066.0,54,51,0,0,83
FY2025,MGH,NEUROSURGERY,6444827.0,12,12,4511842.0,8,8,0,0,9
FY2025,MGH,OBSTETRICS & GYNECOLOGY,15665394.0,8,8,8519498.0,6,6,0,0,5
FY2025,MGH,ORTHOPEDICS,1015816.0,3,3,936360.0,2,2,0,0,2
FY2025,MGH,OTHER BASIC SCIENCES,35011863.0,55,54,21596369.0,32,31,0,0,41
FY2025,MGH,PATHOLOGY,15239292.0,23,23,7604425.0,12,12,0,0,13
FY2025,MGH,PEDIATRICS,7166988.0,18,17,5620409.0,10,10,0,0,13
FY2025,MGH,PSYCHIATRY,56340629.0,112,106,28764647.0,41,38,0,0,79
FY2025,MGH,PUBLIC HEALTH & PREV MEDICINE,4958705.0,11,9,2488944.0,5,4,0,0,6
FY2025,MGH,RADIATION-DIAGNOSTIC/ONCOLOGY,84487061.0,135,133,48437102.0,72,71,0,0,90
FY2025,MGH,SURGERY,34603957.0,45,43,13391852.0,24,23,0,0,32
FY2025,BWH,ANESTHESIOLOGY,7262945.0,15,15,3624209.0,5,5,0,0,12
FY2025,BWH,DERMATOLOGY,10907414.0,17,17,5365902.0,7,7,0,0,13
FY2025,BWH,EMERGENCY MEDICINE,1178627.0,4,4,709358.0,1,1,0,0,4
FY2025,BWH,INTERNAL MEDICINE/MEDICINE,197363922.0,315,300,121421060.0,174,171,0,0,202
FY2025,BWH,NEUROLOGY,41315578.0,53,53,26329682.0,31,31,0,0,35
FY2025,BWH,NEUROSURGERY,3341141.0,7,7,3341141.0,7,7,0,0,4
FY2025,BWH,OBSTETRICS & GYNECOLOGY,2724365.0,5,5,1834516.0,3,3,0,0,4
FY2025,BWH,ORTHOPEDICS,4996733.0,8,7,4822188.0,7,6,0,0,3
FY2025,BWH,OTHER BASIC SCIENCES,13245426.0,23,23,9439556.0,14,14,0,0,9
FY2025,BWH,PATHOLOGY,22568434.0,31,31,12250455.0,19,19,0,0,20
FY2025,BWH,PEDIATRICS,4068407.0,10,8,3502804.0,6,5,0,0,7
FY2025,BWH,PLASTIC SURGERY,1730870.0,2,2,1730870.0,2,2,0,0,2
FY2025,BWH,PSYCHIATRY,14489087.0,14,13,5393254.0,7,7,0,0,12
FY2025,BWH,PUBLIC HEALTH & PREV MEDICINE,5638177.0,7,7,1142326.0,2,2,0,0,6
FY2025,BWH,RADIATION-DIAGNOSTIC/ONCOLOGY,19067770.0,30,30,16383645.0,21,21,0,0,26
FY2025,BWH,SURGERY,20101698.0,20,17,5781777.0,9,9,0,0,14
FY2025,BWH,UROLOGY,1526878.0,3,3,818926.0,2,2,0,0,2
FY2025,IPF10040927,ANESTHESIOLOGY,10757982.0,20,19,6250365.0,11,11,0,0,14
FY2025,IPF10040927,BIOSTATISTICS & OTHER MATH SCI,95967350.0,16,11,4369386.0,6,6,0,0,5
FY2025,IPF10040927,DERMATOLOGY,1488370.0,2,2,1488370.0,2,2,0,0,2
FY2025,IPF10040927,EMERGENCY MEDICINE,21512819.0,7,7,2448459.0,2,2,0,0,5
FY2025,IPF10040927,INTERNAL MEDICINE/MEDICINE,173113345.0,232,216,80550518.0,111,107,0,0,149
FY2025,IPF10040927,NEUROLOGY,13746660.0,17,17,7258492.0,8,8,0,0,13
FY2025,IPF10040927,NEUROSURGERY,943692.0,4,3,672613.0,2,1,0,0,3
FY2025,IPF10040927,OBSTETRICS & GYNECOLOGY,680825.0,2,2,537479.0,1,1,0,0,2
FY2025,IPF10040927,OPHTHALMOLOGY,3771212.0,8,8,2381851.0,5,5,0,0,7
FY2025,IPF10040927,ORTHOPEDICS,2586074.0,5,5,2343585.0,4,4,0,0,5
FY2025,IPF10040927,OTHER BASIC SCIENCES,16696921.0,10,10,3811664.0,6,6,0,0,9
FY2025,IPF10040927,OTHER HEALTH PROFESSIONS,525000.0,1,1,0.0,0,0,0,0,1
FY2025,IPF10040927,OTOLARYNGOLOGY,5408234.0,17,17,2976260.0,6,6,0,0,11
FY2025,IPF10040927,PATHOLOGY,17004417.0,31,30,12618595.0,23,22,0,0,16
FY2025,IPF10040927,PEDIATRICS,27029638.0,40,37,10391484.0,17,15,0,0,28
FY2025,IPF10040927,PSYCHIATRY,6787091.0,14,14,4967363.0,7,7,0,0,12
FY2025,IPF10040927,PUBLIC HEALTH & PREV MEDICINE,2107956.0,6,5,569181.0,2,1,0,0,4
FY2025,IPF10040927,RADIATION-DIAGNOSTIC/ONCOLOGY,13470112.0,24,22,6976448.0,14,13,0,0,14
FY2025,IPF10040927,SURGERY,10858628.0,19,18,7684531.0,10,10,0,0,14
FY2025,IPF10040927,UROLOGY,2007457.0,2,2,397233.0,1,1,0,0,2
FY2025,IPF10068583,BIOSTATISTICS & OTHER MATH SCI,1525597.0,6,6,0.0,0,0,0,0,6
FY2025,IPF10068583,INTERNAL MEDICINE/MEDICINE,186213340.0,66,55,25167299.0,31,30,0,0,42
FY2025,IPF10068583,NEUROLOGY,514273.0,1,1,514273.0,1,1,0,0,1
FY2025,IPF10068583,NEUROSURGERY,1212780.0,3,1,0.0,0,0,0,0,1
FY2025,IPF10068583,OTHER BASIC SCIENCES,4287102.0,6,6,1215810.0,2,2,0,0,5
FY2025,IPF10068583,PEDIATRICS,3259534.0,4,4,701179.0,1,1,0,0,3
FY2025,IPF10068583,PUBLIC HEALTH & PREV MEDICINE,96958301.0,96,86,31979921.0,45,45,0,0,61
FY2025,IPF10068583,RADIATION-DIAGNOSTIC/ONCOLOGY,140854.0,1,1,0.0,0,0,0,0,1
FY2025,IPF4976101,ANESTHESIOLOGY,2353731.0,6,6,1858460.0,3,3,0,0,5
FY2025,IPF4976101,BIOSTATISTICS & OTHER MATH SCI,8206038.0,2,2,0.0,0,0,0,0,2
FY2025,IPF4976101,INTERNAL MEDICINE/MEDICINE,85300043.0,148,143,50422643.0,81,81,0,0,98
FY2025,IPF4976101,NEUROLOGY,34496586.0,30,26,7873961.0,14,14,0,0,22
FY2025,IPF4976101,NEUROSURGERY,1955816.0,3,3,525455.0,1,1,0,0,2
FY2025,IPF4976101,OBSTETRICS & GYNECOLOGY,1960810.0,2,2,0.0,0,0,0,0,2
FY2025,IPF4976101,OPHTHALMOLOGY,223062.0,2,2,0.0,0,0,0,0,1
FY2025,IPF4976101,ORTHOPEDICS,8809447.0,13,13,4099779.0,8,8,0,0,11
FY2025,IPF4976101,OTHER BASIC SCIENCES,34127039.0,71,71,24374904.0,45,45,0,0,48
FY2025,IPF4976101,OTHER HEALTH PROFESSIONS,163332.0,1,1,0.0,0,0,0,0,1
FY2025,IPF4976101,PATHOLOGY,29819541.0,15,15,1244947.0,4,4,0,0,14
FY2025,IPF4976101,PEDIATRICS,1271378.0,3,3,1183496.0,2,2,0,0,3
FY2025,IPF4976101,PHYSICAL MEDICINE & REHAB,7597400.0,4,4,2552450.0,2,2,0,0,2
FY2025,IPF4976101,PSYCHIATRY,3639158.0,6,6,3436433.0,5,5,0,0,5
FY2025,IPF4976101,PUBLIC HEALTH & PREV MEDICINE,4744562.0,6,6,1775966.0,3,3,0,0,5
FY2025,IPF4976101,RADIATION-DIAGNOSTIC/ONCOLOGY,31623829.0,47,46,23149975.0,38,38,0,0,29
FY2025,IPF4976101,SURGERY,3244021.0,5,5,2309194.0,4,4,0,0,4
FY2025,IPF4976101,UROLOGY,203676.0,1,1,0.0,0,0,0,0,1
FY2025,IPF1504801,ANESTHESIOLOGY,3950619.0,10,9,1343178.0,3,3,0,0,7
FY2025,IPF1504801,BIOSTATISTICS & OTHER MATH SCI,3409133.0,4,4,354000.0,1,1,0,0,1
FY2025,IPF1504801,EMERGENCY MEDICINE,2696671.0,2,2,1701059.0,1,1,0,0,2
FY2025,IPF1504801,INTERNAL MEDICINE/MEDICINE,71478202.0,118,114,45972816.0,66,66,0,0,72
FY2025,IPF1504801,NEUROLOGY,20105404.0,35,31,9224362.0,17,14,0,0,23
FY2025,IPF1504801,NEUROSURGERY,515889.0,1,1,515889.0,1,1,0,0,1
FY2025,IPF1504801,OPHTHALMOLOGY,2802625.0,6,6,2525428.0,5,5,0,0,5
FY2025,IPF1504801,ORTHOPEDICS,3305261.0,4,4,534195.0,1,1,0,0,2
FY2025,IPF1504801,OTHER BASIC SCIENCES,24384055.0,42,41,18147896.0,26,25,0,0,27
FY2025,IPF1504801,OTOLARYNGOLOGY,2806064.0,6,5,2673359.0,5,4,0,0,3
FY2025,IPF1504801,PATHOLOGY,4158482.0,12,10,3227921.0,7,5,0,0,9
FY2025,IPF1504801,PEDIATRICS,28085048.0,50,49,9914471.0,15,15,0,0,38
FY2025,IPF1504801,PLASTIC SURGERY,280007.0,1,1,0.0,0,0,0,0,1
FY2025,IPF1504801,PSYCHIATRY,3867041.0,5,4,3849186.0,4,3,0,0,4
FY2025,IPF1504801,RADIATION-DIAGNOSTIC/ONCOLOGY,11253471.0,16,16,8099210.0,14,14,0,0,7
FY2025,IPF1504801,SURGERY,16371225.0,30,30,13445187.0,20,20,0,0,16
FY2025,IPF1504801,UROLOGY,5548491.0,6,6,4204447.0,5,5,0,0,3
FY2025,IPF5079202,DERMATOLOGY,936865.0,4,2,605144.0,2,1,0,0,1
FY2025,IPF5079202,INTERNAL MEDICINE/MEDICINE,59050367.0,92,87,30863084.0,47,45,0,0,65
FY2025,IPF5079202,NEUROLOGY,1747029.0,3,3,1206174.0,2,2,0,0,3
FY2025,IPF5079202,NEUROSURGERY,648551.0,1,1,648551.0,1,1,0,0,1
FY2025,IPF5079202,OTHER BASIC SCIENCES,58561148.0,86,86,36238376.0,53,53,0,0,55
FY2025,IPF5079202,PATHOLOGY,5471744.0,6,6,3562239.0,2,2,0,0,4
FY2025,IPF5079202,PEDIATRICS,1720148.0,3,3,744198.0,1,1,0,0,3
FY2025,IPF5079202,PLASTIC SURGERY,2298314.0,4,4,1264356.0,2,2,0,0,3
FY2025,IPF5079202,PSYCHIATRY,7037487.0,12,12,3935534.0,5,5,0,0,10
FY2025,IPF5079202,PUBLIC HEALTH & PREV MEDICINE,4941940.0,11,10,2608663.0,5,4,0,0,8
FY2025,IPF5079202,RADIATION-DIAGNOSTIC/ONCOLOGY,14729470.0,25,23,9877907.0,15,14,0,0,13
FY2025,IPF5079202,SURGERY,22504115.0,12,12,3966645.0,6,6,0,0,11
FY2025,IPF5079202,UROLOGY,1920714.0,5,5,979928.0,2,2,0,0,5
FY2025,IPF615001,ANESTHESIOLOGY,1735988.0,5,5,906307.0,2,2,0,0,4
FY2025,IPF615001,EMERGENCY MEDICINE,1211396.0,3,3,778394.0,1,1,0,0,3
FY2025,IPF615001,INTERNAL MEDICINE/MEDICINE,68295334.0,112,103,36528702.0,57,55,0,0,75
FY2025,IPF615001,NEUROLOGY,1067962.0,2,2,579294.0,1,1,0,0,2
FY2025,IPF615001,NEUROSURGERY,930051.0,2,2,550588.0,1,1,0,0,2
FY2025,IPF615001,OPHTHALMOLOGY,1431150.0,3,3,979900.0,2,2,0,0,3
FY2025,IPF615001,OTHER BASIC SCIENCES,14141681.0,28,28,6022955.0,10,10,0,0,21
FY2025,IPF615001,PEDIATRICS,49758917.0,74,73,34660494.0,51,50,0,0,53
FY2025,IPF615001,PLASTIC SURGERY,2426452.0,4,4,2426452.0,4,4,0,0,2
FY2025,IPF615001,PSYCHIATRY,3278165.0,3,3,1337488.0,2,2,0,0,3
FY2025,IPF615001,PUBLIC HEALTH & PREV MEDICINE,7425589.0,5,5,686392.0,1,1,0,0,4
FY2025,IPF615001,RADIATION-DIAGNOSTIC/ONCOLOGY,642000.0,1,1,0.0,0,0,0,0,1
FY2025,IPF615001,SURGERY,1644935.0,3,3,1644935.0,3,3,0,0,3
FY2025,DFCI,BIOSTATISTICS & OTHER MATH SCI,23589098.0,12,12,4452102.0,7,7,0,0,8
FY2025,DFCI,INTERNAL MEDICINE/MEDICINE,115479230.0,142,135,36117994.0,54,52,0,0,101
FY2025,DFCI,OTHER BASIC SCIENCES,11382127.0,20,20,9304468.0,13,13,0,0,15
FY2025,DFCI,PATHOLOGY,2282968.0,6,6,735574.0,1,1,0,0,5
FY2025,DFCI,PUBLIC HEALTH & PREV MEDICINE,1567905.0,9,2,1298318.0,8,1,0,0,1
FY2025,DFCI,RADIATION-DIAGNOSTIC/ONCOLOGY,4847331.0,10,10,4105350.0,7,7,0,0,6
FY2025,IPF1499101,ANESTHESIOLOGY,6993706.0,16,16,5034707.0,7,7,0,0,13
FY2025,IPF1499101,EMERGENCY MEDICINE,875011.0,2,2,659416.0,1,1,0,0,2
FY2025,IPF1499101,INTERNAL MEDICINE/MEDICINE,48534331.0,88,85,20077141.0,33,32,0,0,65
FY2025,IPF1499101,NEUROLOGY,9808051.0,19,18,2752459.0,4,4,0,0,10
FY2025,IPF1499101,NEUROSURGERY,12241498.0,4,3,0.0,0,0,0,0,1
FY2025,IPF1499101,OPHTHALMOLOGY,259841.0,1,1,0.0,0,0,0,0,1
FY2025,IPF1499101,ORTHOPEDICS,3247667.0,7,7,2473661.0,5,5,0,0,4
FY2025,IPF1499101,OTHER BASIC SCIENCES,16013373.0,24,24,11333066.0,12,12,0,0,19
FY2025,IPF1499101,OTOLARYNGOLOGY,1577169.0,3,3,1398819.0,2,2,0,0,2
FY2025,IPF1499101,PATHOLOGY,14789297.0,23,22,9397590.0,16,15,0,0,17
FY2025,IPF1499101,PEDIATRICS,25260513.0,47,47,14982100.0,22,22,0,0,41
FY2025,IPF1499101,PSYCHIATRY,10061029.0,9,9,4103491.0,6,6,0,0,9
