period,specialty,nih_org_dept,total_funding,award_years,distinct_projects,direct_cost,indirect_cost,award_years_missing_cost,r01_funding,r01_award_years,r01_distinct_projects,m_funding,m_award_years,m_distinct_projects,funding_R01,awards_R01,funding_R_OTHER,awards_R_OTHER,funding_U,awards_U,funding_P,awards_P,funding_K,awards_K,funding_T,awards_T,funding_F,awards_F,funding_M,awards_M,funding_OTHER,awards_OTHER,funding_UNMAPPED,awards_UNMAPPED,non_r01_funding,non_r01_award_years,funded_investigators,funded_contact_pis,funding_per_investigator,funding_per_project,mean_award_size,r01_funding_per_investigator,projects_per_investigator,r01_share_of_funding,rank_total_funding,rank_award_years,rank_distinct_projects,rank_r01_funding,rank_r01_award_years,rank_m_award_years,meets_intensity_floor,rank_funding_per_investigator,is_ranked,n_ranked,rank_peer_set
FY2024_FY2025,UNKNOWN,__MISSING__,22442986032.0,32376,15909,17178343452.0,5931030642.0,8,8874701430.0,14155,6136,0.0,0,0,8874701430.0,14155,4252580898.0,8384,4871772190.0,3053,1387133721.0,717,692550151.0,3967,233892093.0,543,32908634.0,567,0.0,0,2097446915.0,990,0.0,0,13568284602.0,18221,15559,11531,1442444.0,1410710.0,693198.0,570390.0,1.02,39.5,,,,,,,False,,False,44,NIH department values with a recorded department
FY2024_FY2025,INTERNAL_MEDICINE,INTERNAL MEDICINE/MEDICINE,10057817645.0,15598,9100,7732193171.0,2758652985.0,0,4464087228.0,7397,4269,0.0,0,0,4464087228.0,7397,833864254.0,2068,2634575819.0,1605,1036128528.0,624,419124391.0,2061,332138144.0,736,46138878.0,919,0.0,0,291760403.0,188,0.0,0,5593730417.0,8201,8909,6368,1128950.0,1105255.0,644815.0,501076.0,1.02,44.4,1.0,1.0,1.0,1.0,1.0,1.0,True,2.0,True,44,NIH department values with a recorded department
FY2024_FY2025,PUBLIC_HEALTH,PUBLIC HEALTH & PREV MEDICINE,2864114084.0,4714,2674,2279529027.0,718157373.0,0,1280413519.0,2086,1134,0.0,0,0,1280413519.0,2086,301276036.0,815,737469350.0,500,284839268.0,174,92683080.0,537,80228097.0,201,11462719.0,260,0.0,0,75742015.0,141,0.0,0,1583700565.0,2628,2993,1986,956938.0,1071097.0,607576.0,427803.0,0.89,44.7,2.0,2.0,3.0,3.0,4.0,1.0,True,8.0,True,44,NIH department values with a recorded department
FY2024_FY2025,UNCLASSIFIED,NONE,2529408855.0,4995,3008,1915584747.0,670085994.0,0,1106802753.0,1939,1109,0.0,0,0,1106802753.0,1939,394515142.0,1101,360801323.0,267,376400002.0,178,84959562.0,508,63610832.0,156,34169358.0,750,0.0,0,108149883.0,96,0.0,0,1422606102.0,3056,3453,2657,732525.0,840894.0,506388.0,320534.0,0.87,43.8,,,,,,,False,,False,44,NIH department values with a recorded department
FY2024_FY2025,PSYCHIATRY,PSYCHIATRY,2495415688.0,3965,2363,1911281877.0,705795107.0,0,1320140507.0,2010,1143,0.0,0,0,1320140507.0,2010,264753084.0,610,555619602.0,267,134063822.0,70,121240406.0,657,50691414.0,137,7935312.0,162,0.0,0,40971541.0,52,0.0,0,1175275181.0,1955,2359,1659,1057828.0,1056037.0,629361.0,559619.0,1.0,52.9,3.0,6.0,6.0,2.0,5.0,1.0,True,4.0,True,44,NIH department values with a recorded department
FY2024_FY2025,BASIC_SCIENCE,MICROBIOLOGY/IMMUN/VIROLOGY,2255327324.0,4149,2489,1625992985.0,655278924.0,0,1230726651.0,2139,1195,0.0,0,0,1230726651.0,2139,333165363.0,1028,425183394.0,178,138188977.0,67,14573842.0,93,51974147.0,134,21378086.0,432,0.0,0,40136864.0,78,0.0,0,1024600673.0,2010,2098,1631,1074989.0,906118.0,543583.0,586619.0,1.19,54.6,4.0,4.0,5.0,4.0,3.0,1.0,True,3.0,True,44,NIH department values with a recorded department
FY2024_FY2025,PEDIATRICS,PEDIATRICS,2191505743.0,3914,2315,1680130438.0,590727719.0,0,1035693610.0,1851,1059,0.0,0,0,1035693610.0,1851,185962759.0,564,624224677.0,424,117843272.0,68,139202909.0,674,63057866.0,155,7179858.0,146,0.0,0,18340792.0,32,0.0,0,1155812133.0,2063,2331,1672,940157.0,946655.0,559915.0,444313.0,0.99,47.3,5.0,7.0,7.0,6.0,7.0,1.0,True,9.0,True,44,NIH department values with a recorded department
FY2024_FY2025,NEUROLOGY,NEUROLOGY,2167147077.0,2786,1712,1709553652.0,591492410.0,0,956618481.0,1359,792,0.0,0,0,956618481.0,1359,249932347.0,392,606354542.0,309,232850303.0,85,63794316.0,355,33829937.0,81,9076650.0,182,0.0,0,14690501.0,23,0.0,0,1210528596.0,1427,1745,1223,1241918.0,1265857.0,777870.0,548205.0,0.98,44.1,6.0,12.0,11.0,7.0,13.0,1.0,True,1.0,True,44,NIH department values with a recorded department
FY2024_FY2025,BASIC_SCIENCE,BIOCHEMISTRY,2092996400.0,4622,2676,1471023401.0,645908869.0,0,927221703.0,1964,1090,0.0,0,0,927221703.0,1964,696085958.0,1690,155575859.0,99,131447523.0,77,17781546.0,105,67025096.0,153,20477414.0,431,0.0,0,77381301.0,103,0.0,0,1165774697.0,2658,2458,2023,851504.0,782136.0,452833.0,377226.0,1.09,44.3,7.0,3.0,2.0,8.0,6.0,1.0,True,18.0,True,44,NIH department values with a recorded department
FY2024_FY2025,BASIC_SCIENCE,PHARMACOLOGY,2018503170.0,4084,2514,1457077070.0,615716103.0,0,1099093302.0,2191,1265,0.0,0,0,1099093302.0,2191,368762544.0,993,210940723.0,121,188663379.0,101,21498718.0,118,65971304.0,163,15983480.0,343,0.0,0,47589720.0,54,0.0,0,919409868.0,1893,2381,1804,847754.0,802905.0,494247.0,461610.0,1.06,54.5,8.0,5.0,4.0,5.0,2.0,1.0,True,20.0,True,44,NIH department values with a recorded department
