period,specialty,nih_org_dept,total_funding,award_years,distinct_projects,direct_cost,indirect_cost,award_years_missing_cost,r01_funding,r01_award_years,r01_distinct_projects,m_funding,m_award_years,m_distinct_projects,funding_R01,awards_R01,funding_R_OTHER,awards_R_OTHER,funding_U,awards_U,funding_P,awards_P,funding_K,awards_K,funding_T,awards_T,funding_F,awards_F,funding_M,awards_M,funding_OTHER,awards_OTHER,funding_UNMAPPED,awards_UNMAPPED,non_r01_funding,non_r01_award_years,funded_investigators,funded_contact_pis,funding_per_investigator,funding_per_project,mean_award_size,r01_funding_per_investigator,projects_per_investigator,r01_share_of_funding,rank_total_funding,rank_award_years,rank_distinct_projects,rank_r01_funding,rank_r01_award_years,rank_m_award_years,meets_intensity_floor,rank_funding_per_investigator,rank_total_funding_if_single_entity,rank_award_years_if_single_entity,rank_distinct_projects_if_single_entity,rank_r01_funding_if_single_entity,rank_r01_award_years_if_single_entity,rank_m_award_years_if_single_entity,is_ranked,n_ranked,rank_peer_set
FY2025,UNKNOWN,__MISSING__,11239002717.0,15757,11653,8486910899.0,3034478088.0,0,4552184480.0,6854,4889,0.0,0,0,4552184480.0,6854,2178080086.0,4073,2456997537.0,1537,686711414.0,343,338293875.0,1920,117234870.0,268,16477558.0,286,0.0,0,893022897.0,476,0.0,0,6686818237.0,8903,12160,8930,924260.0,964473.0,713270.0,374357.0,0.96,40.5,,,,,,,False,,,,,,,,False,44,NIH department values with a recorded department
FY2025,INTERNAL_MEDICINE,INTERNAL MEDICINE/MEDICINE,5017832914.0,7650,7068,3811665515.0,1407011825.0,0,2328346218.0,3635,3408,0.0,0,0,2328346218.0,3635,435536295.0,1004,1282952572.0,815,507235975.0,275,210007048.0,1020,165084902.0,363,23402869.0,457,0.0,0,65267035.0,81,0.0,0,2689486696.0,4015,7330,5254,684561.0,709937.0,655926.0,317646.0,0.96,46.4,1.0,1.0,1.0,1.0,1.0,1.0,True,2.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,PUBLIC_HEALTH,PUBLIC HEALTH & PREV MEDICINE,1383180971.0,2238,1965,1103574954.0,348357159.0,0,635829457.0,1021,885,0.0,0,0,635829457.0,1021,147061898.0,377,355775268.0,251,114079297.0,74,44805400.0,256,34222021.0,88,5076868.0,113,0.0,0,46330762.0,58,0.0,0,747351514.0,1217,2358,1541,586591.0,703909.0,618043.0,269648.0,0.83,46.0,2.0,2.0,3.0,3.0,3.0,1.0,True,9.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,PSYCHIATRY,PSYCHIATRY,1264435192.0,1905,1800,963492769.0,359508600.0,0,632773907.0,954,897,0.0,0,0,632773907.0,954,155007578.0,301,298137369.0,133,64988295.0,34,60574683.0,315,25829087.0,69,3627211.0,74,0.0,0,23497062.0,25,0.0,0,631661285.0,951,1957,1360,646109.0,702464.0,663746.0,323339.0,0.92,50.0,3.0,6.0,6.0,4.0,5.0,1.0,True,5.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,UNCLASSIFIED,NONE,1244533626.0,2268,2111,935659405.0,330447807.0,0,545788720.0,914,857,0.0,0,0,545788720.0,914,200220801.0,501,183485518.0,127,174108770.0,78,39706621.0,227,30220426.0,71,14319862.0,306,0.0,0,56682908.0,44,0.0,0,698744906.0,1354,2527,1896,492495.0,589547.0,548736.0,215983.0,0.84,43.9,,,,,,,False,,,,,,,,False,44,NIH department values with a recorded department
FY2025,NEUROLOGY,NEUROLOGY,1112856765.0,1346,1266,885669028.0,311829352.0,0,454593332.0,651,608,0.0,0,0,454593332.0,651,147904082.0,180,325808637.0,168,126166553.0,41,31076647.0,172,18511617.0,40,4312232.0,84,0.0,0,4483665.0,10,0.0,0,658263433.0,695,1414,977,787027.0,879034.0,826788.0,321495.0,0.9,40.8,4.0,11.0,11.0,8.0,13.0,1.0,True,1.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,PEDIATRICS,PEDIATRICS,1105568729.0,1894,1787,848630502.0,300947834.0,0,525974756.0,892,847,0.0,0,0,525974756.0,892,91579297.0,271,317148797.0,209,58100049.0,34,67156993.0,319,33137241.0,79,3816880.0,75,0.0,0,8654716.0,15,0.0,0,579593973.0,1002,1908,1364,579439.0,618673.0,583722.0,275668.0,0.94,47.6,5.0,7.0,7.0,6.0,6.0,1.0,True,10.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,BASIC_SCIENCE,MICROBIOLOGY/IMMUN/VIROLOGY,1101295917.0,1961,1816,785004848.0,329763223.0,0,637882274.0,1000,927,0.0,0,0,637882274.0,1000,172103968.0,492,158978598.0,78,73881239.0,33,7625497.0,48,24925508.0,65,10770448.0,216,0.0,0,15128385.0,29,0.0,0,463413643.0,961,1661,1319,663032.0,606440.0,561599.0,384035.0,1.09,57.9,6.0,4.0,5.0,2.0,4.0,1.0,True,3.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,BASIC_SCIENCE,BIOCHEMISTRY,1049956589.0,2169,2070,732186627.0,329319482.0,0,460869100.0,875,831,0.0,0,0,460869100.0,875,380239913.0,834,52756471.0,44,66142714.0,30,8812117.0,51,33336264.0,79,10015371.0,211,0.0,0,37784639.0,45,0.0,0,589087489.0,1294,1983,1651,529479.0,507225.0,484074.0,232410.0,1.04,43.9,7.0,3.0,2.0,7.0,7.0,1.0,True,24.0,,,,,,,True,44,NIH department values with a recorded department
FY2025,BASIC_SCIENCE,PHARMACOLOGY,1027001720.0,1952,1888,734708479.0,315567467.0,0,560850677.0,1035,993,0.0,0,0,560850677.0,1035,199430812.0,486,103423864.0,56,91653371.0,46,10197916.0,56,33335809.0,82,7912399.0,166,0.0,0,20196872.0,25,0.0,0,466151043.0,917,1905,1447,539109.0,543963.0,526128.0,294410.0,0.99,54.6,8.0,5.0,4.0,5.0,2.0,1.0,True,17.0,,,,,,,True,44,NIH department values with a recorded department
