rank,canonical_org_id,display_name,total_funding,award_years,distinct_projects,r01_award_years,funded_investigators,r01_funding,m_award_years,period,confidence_floor,nih_total_funding,nih_award_years,nih_funded_investigators,funding_per_investigator,mean_award_size,funding_per_project,r01_share_of_funding,nih_vs_publication_ratio,nih_comparable
1,IPF2221101,Duke,426951583.0,180.0,67.0,63.0,31.0,42465460.0,0.0,FY2021_FY2025,corroborated,220811823.0,256.0,83.0,13772632.0,2371953.0,6372412.0,9.9,0.52,True
2,IPF1833205,Columbia,424578131.0,575.0,224.0,312.0,95.0,211626073.0,0.0,FY2021_FY2025,corroborated,68055268.0,85.0,24.0,4469243.0,738397.0,1895438.0,49.8,0.16,True
3,IPF1506502,Michigan,94165549.0,191.0,82.0,119.0,41.0,61063197.0,0.0,FY2021_FY2025,corroborated,131746006.0,276.0,92.0,2296721.0,493013.0,1148360.0,64.8,1.4,True
4,IPF6463801,Penn,91611942.0,65.0,23.0,28.0,15.0,17150668.0,0.0,FY2021_FY2025,corroborated,103151781.0,104.0,51.0,6107463.0,1409414.0,3983128.0,18.7,1.13,True
5,IPF4134401,Johns Hopkins,88499634.0,164.0,64.0,83.0,37.0,45763439.0,0.0,FY2021_FY2025,corroborated,52598713.0,119.0,42.0,2391882.0,539632.0,1382807.0,51.7,0.59,True
6,IPF9083901,WashU St. Louis,67850289.0,124.0,44.0,86.0,22.0,42699214.0,0.0,FY2021_FY2025,corroborated,154066689.0,223.0,67.0,3084104.0,547180.0,1542052.0,62.9,2.27,True
7,IPF481201,Baylor College of Medicine,52772718.0,95.0,36.0,59.0,13.0,28794291.0,0.0,FY2021_FY2025,corroborated,35855220.0,85.0,32.0,4059440.0,555502.0,1465909.0,54.6,0.68,True
8,IPF6218701,Ohio State,50384990.0,70.0,33.0,45.0,20.0,19621674.0,0.0,FY2021_FY2025,corroborated,79491245.0,124.0,52.0,2519250.0,719786.0,1526818.0,38.9,1.58,True
9,IPF6144650,Northwestern,48878580.0,67.0,29.0,33.0,17.0,21046208.0,0.0,FY2021_FY2025,corroborated,73836404.0,125.0,40.0,2875211.0,729531.0,1685468.0,43.1,1.51,True
10,IPF8046501,Stanford,46715605.0,113.0,45.0,75.0,25.0,35782596.0,0.0,FY2021_FY2025,corroborated,78769175.0,161.0,51.0,1868624.0,413412.0,1038125.0,76.6,1.69,True
11,IPF577508,UCSF,45499410.0,83.0,32.0,45.0,20.0,31855365.0,0.0,FY2021_FY2025,corroborated,88246501.0,136.0,52.0,2274970.0,548186.0,1421857.0,70.0,1.94,True
12,IPF577505,UCLA,43793962.0,75.0,28.0,44.0,18.0,19346182.0,0.0,FY2021_FY2025,corroborated,48531239.0,97.0,28.0,2432998.0,583919.0,1564070.0,44.2,1.11,True
13,IPF1514803,Weill Cornell,43674496.0,81.0,37.0,55.0,19.0,33313577.0,0.0,FY2021_FY2025,corroborated,44485966.0,84.0,37.0,2298658.0,539191.0,1180392.0,76.3,1.02,True
14,IPF5221250,Miami,41218969.0,97.0,40.0,63.0,21.0,29473924.0,0.0,FY2021_FY2025,corroborated,42770965.0,116.0,33.0,1962808.0,424938.0,1030474.0,71.5,1.04,True
15,IPF2059802,Pittsburgh,34840314.0,91.0,42.0,41.0,24.0,19796507.0,0.0,FY2021_FY2025,corroborated,89030931.0,206.0,68.0,1451680.0,382861.0,829531.0,56.8,2.56,True
16,IPF2384501,Emory,32540967.0,86.0,26.0,53.0,13.0,24617792.0,0.0,FY2021_FY2025,corroborated,43011749.0,102.0,31.0,2503151.0,378383.0,1251576.0,75.7,1.32,True
17,IPF9420201,Yale,30649914.0,77.0,29.0,57.0,20.0,28876051.0,0.0,FY2021_FY2025,corroborated,35413318.0,68.0,24.0,1532496.0,398051.0,1056894.0,94.2,1.16,True
18,IPF577507,UC San Diego,27795952.0,42.0,16.0,27.0,7.0,13627475.0,0.0,FY2021_FY2025,corroborated,48149298.0,104.0,34.0,3970850.0,661808.0,1737247.0,49.0,1.73,True
19,IPF513806,Florida,27607738.0,55.0,24.0,34.0,17.0,15860188.0,0.0,FY2021_FY2025,corroborated,78227365.0,161.0,64.0,1623985.0,501959.0,1150322.0,57.4,2.83,True
20,IPF1288803,UAB,23219076.0,57.0,20.0,20.0,14.0,8894730.0,0.0,FY2021_FY2025,corroborated,40407663.0,107.0,42.0,1658505.0,407352.0,1160954.0,38.3,1.74,True
