rank,canonical_org_id,display_name,total_funding,award_years,distinct_projects,r01_award_years,funded_investigators,r01_funding,m_award_years,period,confidence_floor,nih_total_funding,nih_award_years,nih_funded_investigators,funding_per_investigator,mean_award_size,funding_per_project,r01_share_of_funding,nih_vs_publication_ratio,nih_comparable
1,IPF1833205,Columbia,243007424.0,376.0,229.0,197.0,132.0,127072683.0,0.0,FY2024_FY2025,all_evidence,23534626.0,35.0,19.0,1840965.0,646296.0,1061168.0,52.3,0.1,True
2,IPF2221101,Duke,162296839.0,98.0,57.0,40.0,36.0,28579687.0,0.0,FY2024_FY2025,all_evidence,95855508.0,104.0,59.0,4508246.0,1656090.0,2847313.0,17.6,0.59,True
3,IPF4134401,Johns Hopkins,96770005.0,111.0,70.0,50.0,41.0,33555478.0,0.0,FY2024_FY2025,all_evidence,20955206.0,34.0,24.0,2360244.0,871802.0,1382429.0,34.7,0.22,True
4,IPF1506502,Michigan,78215514.0,139.0,87.0,73.0,58.0,37436945.0,0.0,FY2024_FY2025,all_evidence,48421993.0,111.0,68.0,1348543.0,562702.0,899029.0,47.9,0.62,True
5,IPF6463801,Penn,58366516.0,62.0,38.0,25.0,25.0,14804537.0,0.0,FY2024_FY2025,all_evidence,46976211.0,38.0,32.0,2334661.0,941395.0,1535961.0,25.4,0.8,True
6,IPF6144650,Northwestern,55371251.0,73.0,42.0,32.0,23.0,19225468.0,0.0,FY2024_FY2025,all_evidence,37430105.0,46.0,25.0,2407446.0,758510.0,1318363.0,34.7,0.68,True
7,IPF577508,UCSF,48894934.0,75.0,47.0,45.0,28.0,32671004.0,0.0,FY2024_FY2025,all_evidence,48021945.0,66.0,41.0,1746248.0,651932.0,1040318.0,66.8,0.98,True
8,IPF9083901,WashU St. Louis,42359443.0,79.0,48.0,59.0,26.0,31294714.0,0.0,FY2024_FY2025,all_evidence,65624506.0,87.0,58.0,1629209.0,536195.0,882488.0,73.9,1.55,True
9,IPF8046501,Stanford,41445498.0,88.0,50.0,64.0,25.0,33294776.0,0.0,FY2024_FY2025,all_evidence,32188398.0,57.0,32.0,1657820.0,470972.0,828910.0,80.3,0.78,True
10,IPF5998304,NYU Grossman,38501964.0,43.0,27.0,25.0,15.0,15781478.0,0.0,FY2024_FY2025,all_evidence,30988460.0,59.0,38.0,2566798.0,895395.0,1425999.0,41.0,0.8,True
11,IPF481201,Baylor College of Medicine,36766179.0,57.0,31.0,39.0,15.0,19680952.0,0.0,FY2024_FY2025,all_evidence,17296178.0,35.0,29.0,2451079.0,645021.0,1186006.0,53.5,0.47,True
