rank,canonical_org_id,display_name,total_funding,award_years,distinct_projects,r01_award_years,funded_investigators,r01_funding,m_award_years,period,confidence_floor,nih_total_funding,nih_award_years,nih_funded_investigators,funding_per_investigator,mean_award_size,funding_per_project,r01_share_of_funding,nih_vs_publication_ratio,nih_comparable
1,IPF1833205,Columbia,107492997.0,161.0,152.0,83.0,97.0,54937441.0,0.0,FY2025,all_evidence,11205970.0,17.0,15.0,1108175.0,667658.0,707191.0,51.1,0.1,True
2,IPF2221101,Duke,86172901.0,46.0,44.0,21.0,31.0,16927813.0,0.0,FY2025,all_evidence,47258163.0,47.0,46.0,2779771.0,1873324.0,1958475.0,19.6,0.55,True
3,IPF4134401,Johns Hopkins,51114163.0,55.0,54.0,26.0,34.0,18591872.0,0.0,FY2025,all_evidence,12290262.0,17.0,20.0,1503358.0,929348.0,946559.0,36.4,0.24,True
4,IPF1506502,Michigan,36052819.0,59.0,57.0,27.0,41.0,15182981.0,0.0,FY2025,all_evidence,22045654.0,49.0,53.0,879337.0,611065.0,632506.0,42.1,0.61,True
5,IPF6463801,Penn,30184153.0,29.0,29.0,12.0,19.0,8181297.0,0.0,FY2025,all_evidence,25231393.0,17.0,27.0,1588640.0,1040833.0,1040833.0,27.1,0.84,True
6,IPF577508,UCSF,28393724.0,40.0,37.0,23.0,26.0,17821360.0,0.0,FY2025,all_evidence,27918696.0,35.0,38.0,1092066.0,709843.0,767398.0,62.8,0.98,True
7,IPF6144650,Northwestern,26251467.0,37.0,32.0,16.0,18.0,9410627.0,0.0,FY2025,all_evidence,17572168.0,21.0,20.0,1458415.0,709499.0,820358.0,35.8,0.67,True
8,IPF5998304,NYU Grossman,23930936.0,25.0,23.0,13.0,13.0,8589572.0,0.0,FY2025,all_evidence,19001796.0,33.0,27.0,1840841.0,957237.0,1040475.0,35.9,0.79,True
9,IPF9083901,WashU St. Louis,21227511.0,34.0,33.0,26.0,19.0,16474180.0,0.0,FY2025,all_evidence,31820064.0,38.0,47.0,1117237.0,624339.0,643258.0,77.6,1.5,True
10,IPF8046501,Stanford,20989843.0,41.0,37.0,30.0,20.0,15998773.0,0.0,FY2025,all_evidence,17940324.0,26.0,26.0,1049492.0,511947.0,567293.0,76.2,0.85,True
11,IPF6218701,Ohio State,18284318.0,23.0,22.0,14.0,18.0,6908139.0,0.0,FY2025,all_evidence,17455308.0,24.0,28.0,1015795.0,794970.0,831105.0,37.8,0.95,True
12,IPF5221250,Miami,18025539.0,26.0,25.0,16.0,15.0,11316623.0,0.0,FY2025,all_evidence,10803352.0,19.0,17.0,1201703.0,693290.0,721022.0,62.8,0.6,True
13,IPF578407,MD Anderson,17319817.0,11.0,11.0,5.0,7.0,3019488.0,0.0,FY2025,all_evidence,14138770.0,21.0,27.0,2474260.0,1574529.0,1574529.0,17.4,0.82,True
14,IPF481201,Baylor College of Medicine,16621225.0,27.0,23.0,19.0,11.0,8969433.0,0.0,FY2025,all_evidence,10127084.0,18.0,24.0,1511020.0,615601.0,722662.0,54.0,0.61,True
15,IPF1514803,Weill Cornell,15759534.0,19.0,19.0,13.0,11.0,8329262.0,0.0,FY2025,all_evidence,10000633.0,17.0,23.0,1432685.0,829449.0,829449.0,52.9,0.63,True
16,IPF577505,UCLA,10867997.0,19.0,19.0,10.0,14.0,7643063.0,0.0,FY2025,all_evidence,7314362.0,15.0,14.0,776286.0,572000.0,572000.0,70.3,0.67,True
17,IPF2059802,Pittsburgh,10695452.0,23.0,23.0,11.0,18.0,7115535.0,0.0,FY2025,all_evidence,19224779.0,38.0,41.0,594192.0,465020.0,465020.0,66.5,1.8,True
18,IPF2384501,Emory,10028008.0,22.0,20.0,11.0,14.0,7339752.0,0.0,FY2025,all_evidence,8952966.0,18.0,16.0,716286.0,455819.0,501400.0,73.2,0.89,True
19,IPF513806,Florida,8487957.0,18.0,17.0,8.0,12.0,4046680.0,0.0,FY2025,all_evidence,14053656.0,29.0,33.0,707330.0,471553.0,499292.0,47.7,1.66,True
