rank,canonical_org_id,display_name,total_funding,award_years,distinct_projects,r01_award_years,funded_investigators,r01_funding,m_award_years,period,confidence_floor,nih_total_funding,nih_award_years,nih_funded_investigators,funding_per_investigator,mean_award_size,funding_per_project,r01_share_of_funding,nih_vs_publication_ratio,nih_comparable
1,IPF2221101,Duke,72073497.0,31.0,29.0,14.0,21.0,11603787.0,0.0,FY2025,corroborated,47258163.0,47.0,46.0,3432071.0,2324952.0,2485293.0,16.1,0.66,True
2,IPF1833205,Columbia,58676966.0,84.0,79.0,46.0,49.0,29307407.0,0.0,FY2025,corroborated,11205970.0,17.0,15.0,1197489.0,698535.0,742746.0,49.9,0.19,True
3,IPF6463801,Penn,24482468.0,14.0,14.0,6.0,8.0,5071473.0,0.0,FY2025,corroborated,25231393.0,17.0,27.0,3060308.0,1748748.0,1748748.0,20.7,1.03,True
4,IPF4134401,Johns Hopkins,17809581.0,26.0,26.0,13.0,20.0,9984252.0,0.0,FY2025,corroborated,12290262.0,17.0,20.0,890479.0,684984.0,684984.0,56.1,0.69,True
5,IPF1506502,Michigan,15602737.0,33.0,33.0,17.0,22.0,9720756.0,0.0,FY2025,corroborated,22045654.0,49.0,53.0,709215.0,472810.0,472810.0,62.3,1.41,True
6,IPF6218701,Ohio State,14784512.0,15.0,14.0,9.0,11.0,4161322.0,0.0,FY2025,corroborated,17455308.0,24.0,28.0,1344047.0,985634.0,1056037.0,28.1,1.18,True
7,IPF481201,Baylor College of Medicine,14111823.0,19.0,17.0,14.0,7.0,7001275.0,0.0,FY2025,corroborated,10127084.0,18.0,24.0,2015975.0,742728.0,830107.0,49.6,0.72,True
8,IPF577508,UCSF,14070890.0,17.0,15.0,7.0,12.0,8406683.0,0.0,FY2025,corroborated,27918696.0,35.0,38.0,1172574.0,827699.0,938059.0,59.7,1.98,True
9,IPF6144650,Northwestern,13522414.0,18.0,18.0,10.0,11.0,6488158.0,0.0,FY2025,corroborated,17572168.0,21.0,20.0,1229310.0,751245.0,751245.0,48.0,1.3,True
10,IPF9083901,WashU St. Louis,13496378.0,19.0,19.0,15.0,12.0,10648902.0,0.0,FY2025,corroborated,31820064.0,38.0,47.0,1124698.0,710336.0,710336.0,78.9,2.36,True
11,IPF5221250,Miami,11910766.0,18.0,18.0,12.0,10.0,9469692.0,0.0,FY2025,corroborated,10803352.0,19.0,17.0,1191077.0,661709.0,661709.0,79.5,0.91,True
12,IPF8046501,Stanford,9274522.0,22.0,19.0,18.0,12.0,8789725.0,0.0,FY2025,corroborated,17940324.0,26.0,26.0,772877.0,421569.0,488133.0,94.8,1.93,True
13,IPF1514803,Weill Cornell,9166856.0,16.0,16.0,11.0,8.0,6833588.0,0.0,FY2025,corroborated,10000633.0,17.0,23.0,1145857.0,572928.0,572928.0,74.5,1.09,True
14,IPF2059802,Pittsburgh,7990925.0,17.0,17.0,9.0,13.0,5692253.0,0.0,FY2025,corroborated,19224779.0,38.0,41.0,614687.0,470054.0,470054.0,71.2,2.41,True
15,IPF2384501,Emory,7396057.0,15.0,14.0,8.0,9.0,5504216.0,0.0,FY2025,corroborated,8952966.0,18.0,16.0,821784.0,493070.0,528290.0,74.4,1.21,True
16,IPF577503,UC Davis,7122835.0,8.0,8.0,6.0,5.0,3111535.0,0.0,FY2025,corroborated,9967693.0,16.0,12.0,1424567.0,890354.0,890354.0,43.7,1.4,True
17,IPF577505,UCLA,6916992.0,9.0,9.0,7.0,8.0,5926454.0,0.0,FY2025,corroborated,7314362.0,15.0,14.0,864624.0,768555.0,768555.0,85.7,1.06,True
18,IPF1526402,Virginia,5482344.0,12.0,12.0,7.0,8.0,4518032.0,0.0,FY2025,corroborated,13474054.0,18.0,25.0,685293.0,456862.0,456862.0,82.4,2.46,True
19,IPF1450402,Minnesota,5250025.0,14.0,12.0,6.0,10.0,3112956.0,0.0,FY2025,corroborated,16514952.0,23.0,33.0,525002.0,375002.0,437502.0,59.3,3.15,True
20,IPF578503,Wisconsin–Madison,4919928.0,8.0,8.0,2.0,6.0,1158254.0,0.0,FY2025,corroborated,14609829.0,32.0,31.0,819988.0,614991.0,614991.0,23.5,2.97,True
21,IPF578407,MD Anderson,4371041.0,8.0,8.0,5.0,4.0,3019488.0,0.0,FY2025,corroborated,14138770.0,21.0,27.0,1092760.0,546380.0,546380.0,69.1,3.23,True
