period,rank,canonical_org_id,canonical_name,display_name,total_funding,award_years,distinct_projects,r01_funding,r01_award_years,m_award_years,funded_investigators,evidence_basis,confidence_floor,funding_per_investigator,r01_funding_per_investigator,funding_per_project,mean_award_size,r01_share_of_funding,meets_intensity_floor,rank_award_years,rank_r01_funding,rank_r01_award_years
FY2024_FY2025,1,IPF2221101,DUKE UNIVERSITY,Duke,95855508.0,104,63,25991183.0,39,0,59,NIH ORG_DEPT (contact PI),n/a,1624670.0,440529.0,1521516.0,921688.0,27.1,True,3,3,4
FY2024_FY2025,2,MGB_CORE,Mass General Brigham,Mass General Brigham,74551792.0,105,68,36253546.0,55,0,51,Reconstructed from publication affiliations (lower bound),all_evidence,1461800.0,710854.0,1096350.0,710017.0,48.6,True,2,1,2
FY2024_FY2025,3,IPF9083901,WASHINGTON UNIVERSITY,WashU St. Louis,65624506.0,87,47,21888056.0,47,0,58,NIH ORG_DEPT (contact PI),n/a,1131457.0,377380.0,1396266.0,754305.0,33.4,True,4,6,3
FY2024_FY2025,4,IPF1506502,UNIVERSITY OF MICHIGAN AT ANN ARBOR,Michigan,48421993.0,111,67,34352518.0,64,0,68,NIH ORG_DEPT (contact PI),n/a,712088.0,505184.0,722716.0,436234.0,70.9,True,1,2,1
FY2024_FY2025,5,IPF577508,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",UCSF,48021945.0,66,40,15975139.0,20,0,41,NIH ORG_DEPT (contact PI),n/a,1171267.0,389638.0,1200549.0,727605.0,33.3,True,6,14,23
FY2024_FY2025,6,IPF6463801,UNIVERSITY OF PENNSYLVANIA,Penn,46976211.0,38,23,11307837.0,18,0,32,NIH ORG_DEPT (contact PI),n/a,1468007.0,353370.0,2042444.0,1236216.0,24.1,True,20,25,27
FY2024_FY2025,7,BWH,Brigham and Women's Hospital,Brigham and Women's Hospital,43737030.0,45,31,15309470.0,23,0,24,Reconstructed from publication affiliations (lower bound),all_evidence,1822376.0,637895.0,1410872.0,971934.0,35.0,True,16,15,15
FY2024_FY2025,8,IPF1450402,UNIVERSITY OF MINNESOTA,Minnesota,39708791.0,50,31,16559726.0,23,0,47,NIH ORG_DEPT (contact PI),n/a,844868.0,352335.0,1280929.0,794176.0,41.7,True,12,10,15
FY2024_FY2025,9,IPF6144650,NORTHWESTERN UNIVERSITY AT CHICAGO,Northwestern,37430105.0,46,28,14366769.0,22,0,25,NIH ORG_DEPT (contact PI),n/a,1497204.0,574671.0,1336789.0,813698.0,38.4,True,13,17,20
FY2024_FY2025,10,IPF2059802,UNIVERSITY OF PITTSBURGH AT PITTSBURGH,Pittsburgh,36574421.0,81,45,23343997.0,35,0,48,NIH ORG_DEPT (contact PI),n/a,761967.0,486333.0,812765.0,451536.0,63.8,True,5,4,5
FY2024_FY2025,11,IPF6218701,OHIO STATE UNIVERSITY,Ohio State,33668167.0,46,26,11373166.0,23,0,34,NIH ORG_DEPT (contact PI),n/a,990240.0,334505.0,1294930.0,731917.0,33.8,True,13,24,15
FY2024_FY2025,12,IPF8046501,STANFORD UNIVERSITY,Stanford,32188398.0,57,32,16296739.0,30,0,32,NIH ORG_DEPT (contact PI),n/a,1005887.0,509273.0,1005887.0,564709.0,50.6,True,11,11,9
FY2024_FY2025,13,IPF5998304,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NYU Grossman,30988460.0,59,38,22437394.0,34,0,38,NIH ORG_DEPT (contact PI),n/a,815486.0,590458.0,815486.0,525228.0,72.4,True,9,5,6
