rank,name,surgery_usd
1,DUKE UNIVERSITY,47242788.0
2,WASHINGTON UNIVERSITY ST LOUIS,31820064.0
3,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,27918696.0
4,UNIVERSITY OF PENNSYLVANIA,25633242.0
5,UNIVERSITY OF MICHIGAN ANN ARBOR,22056449.0
6,UNIVERSITY OF PITTSBURGH,19863043.0
7,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,18925145.0
8,STANFORD UNIVERSITY,17940324.0
9,OHIO STATE UNIVERSITY,17073535.0
10,UNIVERSITY OF MINNESOTA,16514952.0
11,NORTHWESTERN UNIVERSITY CHICAGO,15095777.0
12,UNIVERSITY OF FLORIDA,14622814.0
13,VANDERBILT UNIVERSITY,14408389.0
14,UNIVERSITY OF WISCONSIN MADISON,13919124.0
15,UNIVERSITY OF VIRGINIA,13474054.0
16,JOHNS HOPKINS UNIVERSITY,12290262.0
17,COLUMBIA UNIVERSITY HEALTH SCIENCES,11205970.0
18,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,10803352.0
19,BAYLOR COLLEGE OF MEDICINE,10127084.0
20,CORNELL UNIVERSITY WEILL MEDICAL COLLEGE,10000633.0
21,UNIVERSITY OF CALIFORNIA DAVIS,9967693.0
22,UNIVERSITY OF ROCHESTER,9273361.0
23,UNIVERSITY OF CALIFORNIA SAN DIEGO,9176097.0
24,EMORY UNIVERSITY,8957212.0
25,UNIVERSITY OF COLORADO DENVER,8743412.0
26,UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,7865510.0
27,UNIVERSITY OF ALABAMA BIRMINGHAM,7373814.0
28,UNIVERSITY OF CALIFORNIA LOS ANGELES,7314362.0
29,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",7245955.0
30,YALE UNIVERSITY,7186406.0
31,UNIVERSITY OF MARYLAND BALTIMORE,7101835.0
32,INDIANA UNIVERSITY,6633379.0
33,UNIVERSITY OF LOUISVILLE,6389714.0
34,UNIVERSITY OF KENTUCKY,6108091.0
35,MEDICAL UNIVERSITY OF SOUTH CAROLINA,5152813.0
36,UNIVERSITY OF TEXAS SOUTHWESTERN DALLAS,5144776.0
37,UNIVERSITY OF ARIZONA,4684824.0
38,UNIVERSITY OF UTAH,4494850.0
39,UNIVERSITY OF CALIFORNIA IRVINE,4175298.0
40,UNIVERSITY OF SOUTHERN CALIFORNIA,4160961.0
41,UNIVERSITY OF CHICAGO,3801904.0
42,WAKE FOREST UNIVERSITY HLTH SCIS,3582375.0
43,LOYOLA UNIVERSITY CHICAGO,3151820.0
44,UNIVERSITY OF OKLAHOMA HLTH SCIS CTR,3107031.0
45,UNIVERSITY OF SOUTH FLORIDA,3015110.0
46,UNIVERSITY OF TENNESSEE HLTH SCI CTR,3010432.0
47,VIRGINIA COMMONWEALTH UNIVERSITY,2599927.0
48,UNIVERSITY OF MISSOURI COLUMBIA,2552689.0
49,MEDICAL COLLEGE OF WISCONSIN,2422755.0
50,PENNSYLVANIA STATE UNIV MED CTR HERSHEY,2251569.0
51,UNIVERSITY OF WASHINGTON SEATTLE,2227786.0
52,BOSTON UNIVERSITY MEDICAL CAMPUS,1995084.0
53,UNIVERSITY OF VERMONT,1793684.0
54,EAST TENNESSEE STATE UNIVERSITY,1777865.0
55,UNIVERSITY OF TEXAS  AUSTIN,1756926.0
56,CASE WESTERN RESERVE U & CLEVELAND CLINIC LERNER COM,1615066.0
57,UNIVERSITY OF NEBRASKA MEDICAL CENTER,1515785.0
58,UNIVERSITY OF CINCINNATI,1340506.0
59,MOUNT SINAI ICAHN SCHOOL OF MEDICINE,1134924.0
60,UNIVERSITY OF ILLINOIS CHICAGO,1129762.0
61,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,1115870.0
62,UNIVERSITY OF IOWA,839012.0
63,FLORIDA INTERNATIONAL UNIVERSITY,709718.0
64,HARVARD MEDICAL SCHOOL,598515.0
65,UNIVERSITY OF TEXAS MED BR GALVESTON,598164.0
66,BROWN UNIVERSITY,534680.0
67,STATE UNIVERSITY OF NEW YORK BUFFALO,451657.0
68,EAST CAROLINA UNIVERSITY,376814.0
69,THOMAS JEFFERSON UNIVERSITY,355376.0
70,OREGON HEALTH & SCIENCE UNIVERSITY,354852.0
71,UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,344202.0
72,TULANE UNIVERSITY,328950.0
73,TEXAS TECH UNIVERSITY HSC LUBBOCK,196454.0
74,ALBANY MEDICAL COLLEGE,174988.0
75,UNIVERSITY OF MASSACHUSETTS MED SCH WORCESTER,163058.0
