org_ipf_code,legal_recipient_name,canonical_org_id,canonical_name,parent_system_id,parent_system_name,membership_start,membership_end,historical_names,abbreviations,change_note,version,effective_date
4907701,MASSACHUSETTS GENERAL HOSPITAL,MGH,Massachusetts General Hospital,MGB_SYSTEM,Mass General Brigham,1994-01-01,,General Hospital Corporation|Massachusetts General Hospital,MGH|MGH Corp,Founding member of Partners HealthCare (1994) renamed Mass General Brigham 2019-04-01,v1,2026-08-01
1080401,BRIGHAM AND WOMEN'S HOSPITAL,BWH,Brigham and Women's Hospital,MGB_SYSTEM,Mass General Brigham,1994-01-01,,Brigham and Womens Hospital|Brigham & Women's Hospital,BWH,Founding member of Partners HealthCare (1994) renamed Mass General Brigham 2019-04-01,v1,2026-08-01
4905801,MASSACHUSETTS EYE AND EAR INFIRMARY,MEEI,Massachusetts Eye and Ear Infirmary,MGB_SYSTEM,Mass General Brigham,2018-04-01,,Mass Eye and Ear,MEEI,Joined Partners HealthCare 2018-04-01; merged operationally with MGH under Mass General Brigham,v1,2026-08-01
1876801,MCLEAN HOSPITAL,MCLEAN,McLean Hospital,MGB_SYSTEM,Mass General Brigham,1994-01-01,,,McLean,MGB member; psychiatric specialty hospital,v1,2026-08-01
2598001,SPAULDING REHABILITATION HOSPITAL,SPAULDING,Spaulding Rehabilitation Hospital,MGB_SYSTEM,Mass General Brigham,1994-01-01,,Spaulding Rehabilitation Hospital Corporation,Spaulding,MGB member,v1,2026-08-01
3212902,HARVARD MEDICAL SCHOOL,HMS,Harvard Medical School,HARVARD,Harvard University,,,Harvard Medical School,HMS,"Distinct NIH recipient. NOT an MGB member. Awards to MGH/BWH must never be reassigned to HMS and HMS awards must never be reassigned to an affiliated hospital.",v1,2026-08-01
3212901,HARVARD UNIVERSITY,HARVARD_UNIV,Harvard University,HARVARD,Harvard University,,,,,Distinct NIH recipient; not MGB,v1,2026-08-01
3212904,HARVARD UNIVERSITY D/B/A HARVARD SCHOOL OF PUBLIC HEALTH,HSPH,Harvard T.H. Chan School of Public Health,HARVARD,Harvard University,,,Harvard School of Public Health,HSPH,Distinct NIH recipient; not MGB,v1,2026-08-01
1464901,DANA-FARBER CANCER INST,DFCI,Dana-Farber Cancer Institute,,,,,Dana Farber Cancer Institute,DFCI,"Harvard-affiliated but NOT an MGB member; explicitly excluded from the MGB roll-up",v1,2026-08-01
758101,BETH ISRAEL DEACONESS MEDICAL CENTER,BIDMC,Beth Israel Deaconess Medical Center,BILH,Beth Israel Lahey Health,2019-03-01,,,BIDMC,Harvard-affiliated but NOT an MGB member,v1,2026-08-01
